#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AR	BRCA1	9606.ENSP00000363822	9606.ENSP00000418960	0	0	0	0	0	0.612	0	0	0.612
BRCA1	BRIP1	9606.ENSP00000418960	9606.ENSP00000259008	0	0	0	0	0.380	0.999	0.900	0	0.999
BRCA1	FANCD2	9606.ENSP00000418960	9606.ENSP00000287647	0	0	0	0	0.472	0.779	0.540	0	0.941
BRCA1	SLX4	9606.ENSP00000418960	9606.ENSP00000294008	0	0	0	0	0.067	0.439	0.500	0	0.715
BRCA1	ERCC4	9606.ENSP00000418960	9606.ENSP00000310520	0	0	0	0	0.102	0.439	0.540	0	0.748
BRCA1	AR	9606.ENSP00000418960	9606.ENSP00000363822	0	0	0	0	0	0.612	0	0	0.612
BRIP1	ERCC4	9606.ENSP00000259008	9606.ENSP00000310520	0	0	0	0	0.123	0	0.400	0	0.451
BRIP1	SLX4	9606.ENSP00000259008	9606.ENSP00000294008	0.069	0	0	0	0.109	0	0.500	0	0.549
BRIP1	FANCD2	9606.ENSP00000259008	9606.ENSP00000287647	0	0	0	0	0.209	0.515	0	0	0.600
BRIP1	BRCA1	9606.ENSP00000259008	9606.ENSP00000418960	0	0	0	0	0.380	0.999	0.900	0	0.999
ERCC4	BRIP1	9606.ENSP00000310520	9606.ENSP00000259008	0	0	0	0	0.123	0	0.400	0	0.451
ERCC4	FANCD2	9606.ENSP00000310520	9606.ENSP00000287647	0	0	0	0	0.101	0.301	0.540	0	0.685
ERCC4	SLX4	9606.ENSP00000310520	9606.ENSP00000294008	0	0	0	0	0.105	0.943	0.500	0	0.972
ERCC4	BRCA1	9606.ENSP00000310520	9606.ENSP00000418960	0	0	0	0	0.102	0.439	0.540	0	0.748
FANCD2	BRIP1	9606.ENSP00000287647	9606.ENSP00000259008	0	0	0	0	0.209	0.515	0	0	0.600
FANCD2	ERCC4	9606.ENSP00000287647	9606.ENSP00000310520	0	0	0	0	0.101	0.301	0.540	0	0.685
FANCD2	SLX4	9606.ENSP00000287647	9606.ENSP00000294008	0	0	0	0	0.098	0.510	0.500	0	0.759
FANCD2	BRCA1	9606.ENSP00000287647	9606.ENSP00000418960	0	0	0	0	0.472	0.779	0.540	0	0.941
SLX4	BRIP1	9606.ENSP00000294008	9606.ENSP00000259008	0.069	0	0	0	0.109	0	0.500	0	0.549
SLX4	FANCD2	9606.ENSP00000294008	9606.ENSP00000287647	0	0	0	0	0.098	0.510	0.500	0	0.759
SLX4	BRCA1	9606.ENSP00000294008	9606.ENSP00000418960	0	0	0	0	0.067	0.439	0.500	0	0.715
SLX4	ERCC4	9606.ENSP00000294008	9606.ENSP00000310520	0	0	0	0	0.105	0.943	0.500	0	0.972
