# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_disruptive_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ARID1A	ENSG00000117713	ENST00000324856	protein_coding	3	1	5	0	0	0	0	1	0	3	1	4	0	0	1	0	0	0	0
ARID1A	ENSG00000117713	ENST00000374152	protein_coding	3	1	4	0	0	0	0	1	0	3	1	3	0	0	1	0	0	0	0
ARID1A	ENSG00000117713	ENST00000430799	protein_coding	3	0	4	2	0	0	0	1	0	3	2	3	0	0	0	0	0	0	0
ARID1A	ENSG00000117713	ENST00000457599	protein_coding	2	1	4	2	0	0	0	1	0	2	3	3	0	0	1	0	0	0	0
ARID1A	ENSG00000117713	ENST00000524572	protein_coding	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
ARID1A	ENSG00000117713	ENST00000636219	protein_coding	3	0	4	1	0	0	0	1	0	3	1	3	0	0	0	0	0	0	0
ARID1A	ENSG00000117713	ENST00000637465	protein_coding	0	0	1	2	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0
ATM	ENSG00000149311	ENST00000452508	protein_coding	6	0	0	0	0	0	0	0	0	4	1	0	1	0	0	1	0	0	0
ATM	ENSG00000149311	ENST00000675843	protein_coding	6	0	0	0	0	0	0	0	0	4	1	0	1	0	0	1	0	0	0
BCL2	ENSG00000171791	ENST00000333681	protein_coding	1	3	1	17	4	0	5	0	1	1	3	1	0	0	0	0	0	3	4
BCL2	ENSG00000171791	ENST00000398117	protein_coding	1	4	1	17	4	1	8	0	1	1	1	1	0	0	0	0	0	3	3
BCL2	ENSG00000171791	ENST00000589955	protein_coding	1	3	1	12	1	0	3	0	0	1	0	1	0	0	0	0	0	3	8
BCL2	ENSG00000171791	ENST00000590515	protein_coding	0	0	0	4	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0
BCL2	ENSG00000171791	ENST00000678301	protein_coding	0	0	0	5	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0
BCL6	ENSG00000113916	ENST00000232014	protein_coding	2	1	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	1	4
BCL6	ENSG00000113916	ENST00000406870	protein_coding	2	1	0	14	0	0	0	0	0	2	9	0	0	0	0	0	0	1	5
BCL6	ENSG00000113916	ENST00000430339	protein_coding	1	0	0	2	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0
BCL6	ENSG00000113916	ENST00000438077	protein_coding	1	0	0	6	0	0	0	0	2	1	0	0	0	0	0	0	0	0	4
BCL6	ENSG00000113916	ENST00000450123	protein_coding	2	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0
BCL6	ENSG00000113916	ENST00000621333	protein_coding	2	1	0	14	0	0	0	0	0	2	9	0	0	0	0	0	0	1	5
BIRC3	ENSG00000023445	ENST00000263464	protein_coding	4	0	0	2	0	0	0	0	0	3	3	0	0	1	1	0	0	0	0
BIRC3	ENSG00000023445	ENST00000526421	protein_coding	4	0	0	2	0	0	0	0	0	3	3	0	0	1	1	0	0	0	0
BIRC3	ENSG00000023445	ENST00000527309	protein_coding	1	1	0	5	0	0	2	0	0	0	4	0	0	1	1	0	0	0	0
BIRC3	ENSG00000023445	ENST00000532808	protein_coding	4	0	0	2	0	0	0	0	0	3	3	0	0	1	1	0	0	0	0
BIRC3	ENSG00000023445	ENST00000615299	protein_coding	4	0	0	2	0	0	0	0	0	3	3	0	0	1	1	0	0	0	0
BIRC3	ENSG00000023445	ENST00000673846	protein_coding	4	0	0	2	0	0	0	0	0	3	3	0	0	1	1	0	0	0	0
BIRC6	ENSG00000115760	ENST00000421745	protein_coding	0	2	1	2	0	0	0	0	0	0	4	1	0	0	2	0	0	0	0
BIRC6	ENSG00000115760	ENST00000648282	protein_coding	1	1	1	1	0	0	0	0	0	1	2	1	0	0	1	0	0	0	0
BRAF	ENSG00000157764	ENST00000288602	protein_coding	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
BRAF	ENSG00000157764	ENST00000469930	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
BRAF	ENSG00000157764	ENST00000496384	protein_coding	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
BRAF	ENSG00000157764	ENST00000644969	protein_coding	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
BRAF	ENSG00000157764	ENST00000646891	protein_coding	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
BTK	ENSG00000010671	ENST00000308731	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
BTK	ENSG00000010671	ENST00000372880	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
BTK	ENSG00000010671	ENST00000621635	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
BYSL	ENSG00000112578	ENST00000230340	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
C11orf65	ENSG00000166323	ENST00000524755	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
C11orf65	ENSG00000166323	ENST00000525729	protein_coding	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
C11orf65	ENSG00000166323	ENST00000615746	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
CCND1	ENSG00000110092	ENST00000227507	protein_coding	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CCND1	ENSG00000110092	ENST00000536559	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
