# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_region_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
AC003102.1	ENSG00000214921	ENST00000399246	protein_coding	0	0	0	2	0	0	2	0	0	0	0	0	0
AL161450.1	ENSG00000268155	ENST00000601793	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0
ANAPC5	ENSG00000089053	ENST00000536837	protein_coding	0	0	0	8	0	0	0	0	8	0	0	0	0
ASIP	ENSG00000101440	ENST00000568305	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
ATM	ENSG00000149311	ENST00000278616	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0
ATM	ENSG00000149311	ENST00000452508	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0
BCKDHA	ENSG00000248098	ENST00000595085	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
BRD3	ENSG00000169925	ENST00000303407	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0
BRD3	ENSG00000169925	ENST00000357885	protein_coding	0	0	0	3	0	0	1	0	2	0	0	0	0
BRD3	ENSG00000169925	ENST00000371834	protein_coding	0	0	0	3	0	0	1	0	2	0	0	0	0
BRD3	ENSG00000169925	ENST00000371842	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	1
BRD3	ENSG00000169925	ENST00000433041	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2
BRF1	ENSG00000185024	ENST00000327359	protein_coding	0	0	0	18	0	0	0	0	18	0	0	0	0
BRF1	ENSG00000185024	ENST00000379932	protein_coding	0	0	0	6	0	0	0	0	6	0	0	0	0
BRF1	ENSG00000185024	ENST00000379937	protein_coding	0	0	0	14	0	0	0	0	14	0	0	0	0
BRF1	ENSG00000185024	ENST00000392557	protein_coding	0	0	0	6	0	0	0	0	6	0	0	0	0
BRF1	ENSG00000185024	ENST00000440513	protein_coding	0	0	0	18	0	0	0	0	18	0	0	0	0
BRF1	ENSG00000185024	ENST00000446501	protein_coding	0	0	0	6	0	0	0	0	6	0	0	0	0
BRF1	ENSG00000185024	ENST00000546417	protein_coding	0	0	0	14	0	0	0	0	14	0	0	0	0
BRF1	ENSG00000185024	ENST00000546474	protein_coding	0	0	0	18	0	4	0	0	14	0	0	0	0
BRF1	ENSG00000185024	ENST00000548421	protein_coding	0	0	0	8	0	0	0	0	8	0	0	0	0
BRF1	ENSG00000185024	ENST00000549655	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	6
BRF1	ENSG00000185024	ENST00000550208	protein_coding	0	0	0	6	0	0	0	0	6	0	0	0	0
BRF1	ENSG00000185024	ENST00000550375	protein_coding	0	0	0	6	0	0	0	0	6	0	0	0	0
BRF1	ENSG00000185024	ENST00000550692	protein_coding	0	0	0	12	0	0	0	0	12	0	0	0	0
BRF1	ENSG00000185024	ENST00000551787	protein_coding	0	0	0	6	0	0	0	0	6	0	0	0	0
BRF1	ENSG00000185024	ENST00000552127	protein_coding	0	0	0	6	0	0	0	0	6	0	0	0	0
BTBD6	ENSG00000184887	ENST00000327471	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	4
BTBD6	ENSG00000184887	ENST00000392554	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	4
BTBD6	ENSG00000184887	ENST00000463376	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	4
BTBD6	ENSG00000184887	ENST00000536364	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	4
BTBD6	ENSG00000184887	ENST00000537513	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	4
C11orf65	ENSG00000166323	ENST00000393084	protein_coding	0	0	0	6	0	0	0	0	6	0	0	0	0
C11orf65	ENSG00000166323	ENST00000524755	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0
C11orf65	ENSG00000166323	ENST00000525729	protein_coding	0	0	0	7	0	0	0	0	7	0	0	0	0
C11orf65	ENSG00000166323	ENST00000529391	protein_coding	0	0	0	6	0	0	0	0	6	0	0	0	0
C11orf65	ENSG00000166323	ENST00000533583	protein_coding	0	0	0	6	0	0	0	0	6	0	0	0	0
C19orf38	ENSG00000214212	ENST00000397820	protein_coding	0	0	0	2	0	0	2	0	0	0	0	0	0
C19orf38	ENSG00000214212	ENST00000592854	protein_coding	0	0	0	2	0	0	2	0	0	0	0	0	0
C19orf52	ENSG00000142444	ENST00000270502	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0
C2orf88	ENSG00000187699	ENST00000450357	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0
CACNG1	ENSG00000108878	ENST00000226021	protein_coding	0	0	0	2	0	0	2	0	0	0	0	0	0
CARM1	ENSG00000142453	ENST00000327064	protein_coding	0	0	0	6	0	0	0	0	6	0	0	0	0
CARM1	ENSG00000142453	ENST00000344150	protein_coding	0	0	0	6	0	0	0	0	6	0	0	0	0
CARM1	ENSG00000142453	ENST00000588947	protein_coding	0	0	0	6	0	0	0	0	6	0	0	0	0
CCND3	ENSG00000112576	ENST00000372988	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0
CCND3	ENSG00000112576	ENST00000415497	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0
CCND3	ENSG00000112576	ENST00000502771	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0
CCND3	ENSG00000112576	ENST00000508143	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0
CCND3	ENSG00000112576	ENST00000510503	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0
CCND3	ENSG00000112576	ENST00000511642	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0
CCND3	ENSG00000112576	ENST00000514588	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0
CD274	ENSG00000120217	ENST00000381573	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0
CD274	ENSG00000120217	ENST00000381577	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0
CDC27	ENSG00000004897	ENST00000066544	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
CDC27	ENSG00000004897	ENST00000446365	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
CDC27	ENSG00000004897	ENST00000527547	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
CDC27	ENSG00000004897	ENST00000531206	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
CDC27	ENSG00000004897	ENST00000575483	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
CREBBP	ENSG00000005339	ENST00000262367	protein_coding	0	1	0	2	0	0	1	0	1	0	0	1	0
CREBBP	ENSG00000005339	ENST00000382070	protein_coding	0	1	0	1	0	0	0	0	1	0	0	1	0
CREBBP	ENSG00000005339	ENST00000570939	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0
CREBBP	ENSG00000005339	ENST00000573517	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0
CTC-435M10.3	ENSG00000255730	ENST00000540732	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
DBH	ENSG00000123454	ENST00000263611	protein_coding	0	0	0	5	0	0	1	0	2	0	0	0	2
DBH	ENSG00000123454	ENST00000393056	protein_coding	0	0	2	7	0	0	0	0	5	2	0	0	2
DDI2	ENSG00000197312	ENST00000480945	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
DHDDS	ENSG00000117682	ENST00000236342	protein_coding	0	0	0	8	0	0	0	0	8	0	0	0	0
DHDDS	ENSG00000117682	ENST00000360009	protein_coding	0	0	0	8	0	0	0	0	8	0	0	0	0
DHDDS	ENSG00000117682	ENST00000374185	protein_coding	0	0	0	6	0	0	5	0	1	0	0	0	0
DHDDS	ENSG00000117682	ENST00000416052	protein_coding	0	0	0	7	0	0	0	0	7	0	0	0	0
DHDDS	ENSG00000117682	ENST00000427245	protein_coding	1	1	0	5	0	0	4	1	2	0	1	0	0
DHDDS	ENSG00000117682	ENST00000430232	protein_coding	0	0	0	8	0	0	0	0	8	0	0	0	0
DHDDS	ENSG00000117682	ENST00000431933	protein_coding	0	0	0	7	0	0	0	0	7	0	0	0	0
DHDDS	ENSG00000117682	ENST00000436153	protein_coding	0	0	0	5	0	0	4	0	1	0	0	0	0
DHDDS	ENSG00000117682	ENST00000525165	protein_coding	0	0	0	4	0	0	3	0	1	0	0	0	0
DHDDS	ENSG00000117682	ENST00000525326	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0
DHDDS	ENSG00000117682	ENST00000525546	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0
DHDDS	ENSG00000117682	ENST00000525682	protein_coding	0	0	0	8	0	0	0	0	8	0	0	0	0
DHDDS	ENSG00000117682	ENST00000526219	protein_coding	0	0	0	8	0	0	0	0	8	0	0	0	0
DHDDS	ENSG00000117682	ENST00000530781	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0
DHDDS	ENSG00000117682	ENST00000531312	protein_coding	0	0	0	4	0	0	3	0	1	0	0	0	0
DHDDS	ENSG00000117682	ENST00000533087	protein_coding	0	0	0	5	0	0	4	0	1	0	0	0	0
DNAH2	ENSG00000183914	ENST00000389173	protein_coding	0	0	0	5	0	0	0	0	5	0	0	0	0
DNAH2	ENSG00000183914	ENST00000572933	protein_coding	0	0	0	5	0	0	0	0	5	0	0	0	0
DNAJC16	ENSG00000116138	ENST00000375838	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0
DNAJC16	ENSG00000116138	ENST00000375847	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0
DNAJC16	ENSG00000116138	ENST00000375849	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0
DNASE1	ENSG00000213918	ENST00000575479	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0
HAO2	ENSG00000116882	ENST00000325945	protein_coding	0	0	0	2	0	0	1	0	1	0	0	0	0
HAO2	ENSG00000116882	ENST00000361035	protein_coding	0	0	0	2	0	0	1	0	1	0	0	0	0
