# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ATRX	ENSG00000085224	ENST00000373344	protein_coding	0	0	1	2	0	1	0	1	1	0	0	0	0
ATRX	ENSG00000085224	ENST00000395603	protein_coding	0	0	1	2	0	1	0	1	1	0	0	0	0
ATRX	ENSG00000085224	ENST00000493470	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2
ATRX	ENSG00000085224	ENST00000622960	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0
ATRX	ENSG00000085224	ENST00000623321	protein_coding	0	0	0	3	0	1	1	1	0	0	0	0	0
ATRX	ENSG00000085224	ENST00000624032	protein_coding	0	0	0	3	0	1	1	1	0	0	0	0	0
ATRX	ENSG00000085224	ENST00000624166	protein_coding	0	0	1	2	0	1	0	1	1	0	0	0	0
ATRX	ENSG00000085224	ENST00000624668	protein_coding	0	0	0	3	0	1	2	0	0	0	0	0	0
ATRX	ENSG00000085224	ENST00000625063	protein_coding	0	0	0	2	0	0	1	1	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000352993	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000357654	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000461574	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000468300	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000471181	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000478531	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000484087	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000487825	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000491747	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000493795	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000493919	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000586385	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000591534	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000591849	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000644379	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
CYP17A1	ENSG00000148795	ENST00000369887	protein_coding	0	1	0	0	0	0	0	0	0	0	0	1	0
CYP17A1	ENSG00000148795	ENST00000638190	protein_coding	0	1	0	0	0	0	0	0	0	0	0	1	0
CYP17A1	ENSG00000148795	ENST00000638272	protein_coding	0	1	0	0	0	0	0	0	0	0	0	1	0
CYP17A1	ENSG00000148795	ENST00000638971	protein_coding	0	1	0	0	0	0	0	0	0	0	0	1	0
CYP17A1	ENSG00000148795	ENST00000639393	protein_coding	0	1	0	0	0	0	0	0	0	0	0	1	0
DIS3L2	ENSG00000144535	ENST00000273009	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
DIS3L2	ENSG00000144535	ENST00000325385	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
ESR1	ENSG00000091831	ENST00000206249	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
ESR1	ENSG00000091831	ENST00000338799	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
ESR1	ENSG00000091831	ENST00000404742	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0
ESR1	ENSG00000091831	ENST00000406599	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
ESR1	ENSG00000091831	ENST00000415488	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
ESR1	ENSG00000091831	ENST00000427531	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
ESR1	ENSG00000091831	ENST00000440973	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0
ESR1	ENSG00000091831	ENST00000443427	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
ESR1	ENSG00000091831	ENST00000456483	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0
ETV6	ENSG00000139083	ENST00000266427	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1
ETV6	ENSG00000139083	ENST00000396373	protein_coding	0	0	0	8	0	0	0	8	0	0	0	0	0
FANCM	ENSG00000187790	ENST00000267430	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0
FANCM	ENSG00000187790	ENST00000542564	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0
FANCM	ENSG00000187790	ENST00000554809	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0
FANCM	ENSG00000187790	ENST00000556250	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0
FGFR1	ENSG00000077782	ENST00000326324	protein_coding	0	1	0	0	0	0	0	1	0	1	0	0	0
FGFR1	ENSG00000077782	ENST00000335922	protein_coding	0	1	0	0	0	0	0	1	0	1	0	0	0
FGFR1	ENSG00000077782	ENST00000341462	protein_coding	0	1	0	0	0	0	0	1	0	1	0	0	0
FGFR1	ENSG00000077782	ENST00000356207	protein_coding	0	1	0	0	0	0	0	1	0	1	0	0	0
FGFR1	ENSG00000077782	ENST00000397091	protein_coding	0	1	0	0	0	0	0	1	0	1	0	0	0
FGFR1	ENSG00000077782	ENST00000397103	protein_coding	0	1	0	0	0	0	0	1	0	1	0	0	0
FGFR1	ENSG00000077782	ENST00000397108	protein_coding	0	1	0	0	0	0	0	1	0	1	0	0	0
FGFR1	ENSG00000077782	ENST00000397113	protein_coding	0	1	0	0	0	0	0	1	0	1	0	0	0
FGFR1	ENSG00000077782	ENST00000425967	protein_coding	0	1	0	0	0	0	0	1	0	1	0	0	0
FGFR1	ENSG00000077782	ENST00000447712	protein_coding	0	1	0	0	0	0	0	1	0	1	0	0	0
FGFR1	ENSG00000077782	ENST00000532791	protein_coding	0	1	0	0	0	0	0	1	0	1	0	0	0
FGFR1	ENSG00000077782	ENST00000683765	protein_coding	0	1	0	0	0	0	0	1	0	1	0	0	0
FGFR1	ENSG00000077782	ENST00000683815	protein_coding	0	1	0	0	0	0	0	1	0	1	0	0	0
FGFR1	ENSG00000077782	ENST00000684654	protein_coding	0	1	0	0	0	0	0	1	0	1	0	0	0
FGFR2	ENSG00000066468	ENST00000336553	protein_coding	0	0	0	2	0	0	2	0	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000346997	protein_coding	0	0	0	2	0	0	1	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000351936	protein_coding	0	0	0	2	1	0	0	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000356226	protein_coding	0	0	0	2	1	0	0	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000357555	protein_coding	0	1	0	1	0	0	0	1	0	0	0	1	0
FGFR2	ENSG00000066468	ENST00000358487	protein_coding	0	0	0	2	1	0	0	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000360144	protein_coding	0	0	0	2	0	0	1	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000369056	protein_coding	0	0	0	2	0	0	1	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000369058	protein_coding	0	0	0	2	0	0	2	0	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000369059	protein_coding	0	0	0	2	0	0	1	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000369060	protein_coding	0	0	0	2	1	0	0	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000369061	protein_coding	0	0	0	2	1	0	0	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000429361	protein_coding	0	0	0	2	0	0	1	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000457416	protein_coding	0	0	0	2	0	0	1	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000478859	protein_coding	0	0	0	2	1	0	0	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000613048	protein_coding	0	0	0	2	1	0	0	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000638709	protein_coding	0	0	0	2	1	0	0	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000682550	protein_coding	0	0	0	2	1	0	0	1	0	0	0	0	0
FGFR2	ENSG00000066468	ENST00000682772	protein_coding	0	0	0	2	1	0	0	1	0	0	0	0	0
