# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
AR	ENSG00000169083	ENST00000374690	protein_coding	0	0	0	2	0	2	0	0	0	0	0
AR	ENSG00000169083	ENST00000396044	protein_coding	0	0	0	2	0	2	0	0	0	0	0
ARID1B	ENSG00000049618	ENST00000319584	protein_coding	0	1	0	0	0	0	0	0	0	1	0
ARID1B	ENSG00000049618	ENST00000346085	protein_coding	0	0	0	1	0	1	0	0	0	0	0
ARID1B	ENSG00000049618	ENST00000350026	protein_coding	0	0	0	1	0	1	0	0	0	0	0
ARID1B	ENSG00000049618	ENST00000400790	protein_coding	0	0	0	1	0	1	0	0	0	0	0
ARID1B	ENSG00000049618	ENST00000414678	protein_coding	0	1	0	0	0	0	0	0	0	1	0
ARID1B	ENSG00000049618	ENST00000635849	protein_coding	0	1	0	0	0	0	0	0	0	1	0
ARID1B	ENSG00000049618	ENST00000635957	protein_coding	0	1	0	0	0	0	0	0	0	1	0
ARID1B	ENSG00000049618	ENST00000636930	protein_coding	0	1	0	0	0	0	0	0	0	1	0
ARID1B	ENSG00000049618	ENST00000637015	protein_coding	0	1	0	0	0	0	0	0	0	1	0
ARID1B	ENSG00000049618	ENST00000637810	protein_coding	0	0	0	1	0	1	0	0	0	0	0
ARID1B	ENSG00000049618	ENST00000637904	protein_coding	0	1	0	0	0	0	0	0	0	1	0
ARID1B	ENSG00000049618	ENST00000647938	protein_coding	0	0	0	1	0	1	0	0	0	0	0
ATM	ENSG00000149311	ENST00000452508	protein_coding	0	0	1	1	0	1	1	0	0	0	0
ATM	ENSG00000149311	ENST00000675843	protein_coding	0	0	1	1	0	1	1	0	0	0	0
BIVM-ERCC5	ENSG00000270181	ENST00000639132	protein_coding	0	0	1	0	0	0	1	0	0	0	0
BIVM-ERCC5	ENSG00000270181	ENST00000639435	protein_coding	0	0	1	0	0	0	1	0	0	0	0
BRCA2	ENSG00000139618	ENST00000380152	protein_coding	0	0	0	1	0	1	0	0	0	0	0
BRCA2	ENSG00000139618	ENST00000544455	protein_coding	0	0	0	1	0	1	0	0	0	0	0
BRCA2	ENSG00000139618	ENST00000680887	protein_coding	0	0	0	1	0	1	0	0	0	0	0
C11orf65	ENSG00000166323	ENST00000524755	protein_coding	0	0	0	2	1	1	0	0	0	0	0
C11orf65	ENSG00000166323	ENST00000525729	protein_coding	0	0	0	2	0	2	0	0	0	0	0
C11orf65	ENSG00000166323	ENST00000615746	protein_coding	0	0	0	2	1	1	0	0	0	0	0
DDR2	ENSG00000162733	ENST00000367921	protein_coding	0	0	0	1	0	1	0	0	0	0	0
