# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_disruptive_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ABL2	ENSG00000143322	ENST00000344730	protein_coding	0	0	0	11	0	0	0	0	0	0	1	0	0	0	0	0	10
ABL2	ENSG00000143322	ENST00000367623	protein_coding	0	0	0	23	0	0	0	0	0	0	23	0	0	0	0	0	0
ABL2	ENSG00000143322	ENST00000392043	protein_coding	0	0	0	23	0	0	0	0	0	0	23	0	0	0	0	0	0
ABL2	ENSG00000143322	ENST00000408940	protein_coding	0	0	0	11	0	0	0	0	0	0	1	0	0	0	0	0	10
ABL2	ENSG00000143322	ENST00000502732	protein_coding	0	0	0	23	0	0	0	0	0	0	23	0	0	0	0	0	0
ABL2	ENSG00000143322	ENST00000504405	protein_coding	0	0	0	11	0	0	0	0	0	0	1	0	0	0	0	0	10
ABL2	ENSG00000143322	ENST00000507173	protein_coding	0	0	0	23	0	0	0	0	0	0	23	0	0	0	0	0	0
ABL2	ENSG00000143322	ENST00000511413	protein_coding	0	0	0	23	0	0	0	0	0	0	23	0	0	0	0	0	0
ABL2	ENSG00000143322	ENST00000512653	protein_coding	0	0	0	11	0	0	0	0	0	0	1	0	0	0	0	0	10
AC119673.1	ENSG00000268313	ENST00000598338	protein_coding	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	23
ACTR5	ENSG00000101442	ENST00000243903	protein_coding	0	0	2	4	0	0	0	0	1	0	3	2	0	1	0	0	0
ADAM22	ENSG00000008277	ENST00000265727	protein_coding	0	0	0	15	0	0	0	0	0	0	14	0	0	0	0	0	1
ADAM22	ENSG00000008277	ENST00000315984	protein_coding	0	0	0	15	0	0	0	0	0	0	14	0	0	0	0	0	1
ADAM22	ENSG00000008277	ENST00000398201	protein_coding	0	0	0	15	0	0	0	0	0	0	14	0	0	0	0	0	1
ADAM22	ENSG00000008277	ENST00000398203	protein_coding	0	0	0	15	0	0	0	0	0	0	14	0	0	0	0	0	1
ADAM22	ENSG00000008277	ENST00000398204	protein_coding	0	0	0	15	0	0	0	0	0	0	14	0	0	0	0	0	1
ADAM22	ENSG00000008277	ENST00000398209	protein_coding	0	0	0	15	0	0	0	0	0	0	14	0	0	0	0	0	1
ADAM22	ENSG00000008277	ENST00000412441	protein_coding	0	0	0	15	0	0	0	0	0	0	14	0	0	0	0	0	1
ADAM22	ENSG00000008277	ENST00000439864	protein_coding	0	0	0	15	0	0	0	0	0	0	14	0	0	0	0	0	1
AE000662.92	ENSG00000259003	ENST00000557595	protein_coding	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0
AL161450.1	ENSG00000268155	ENST00000601793	protein_coding	0	0	0	8	0	0	0	0	1	0	7	0	0	0	0	0	0
ALK	ENSG00000171094	ENST00000389048	protein_coding	0	0	0	7	0	0	0	0	0	0	7	0	0	0	0	0	0
ALK	ENSG00000171094	ENST00000431873	protein_coding	0	0	0	7	0	0	0	0	0	0	7	0	0	0	0	0	0
ANGPTL7	ENSG00000171819	ENST00000376819	protein_coding	0	0	0	3	1	0	0	0	1	0	0	0	0	0	0	0	1
AP000304.12	ENSG00000249209	ENST00000429238	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
AP4E1	ENSG00000081014	ENST00000261842	protein_coding	1	1	0	12	0	0	0	0	0	0	12	0	0	0	1	1	0
AP4E1	ENSG00000081014	ENST00000560508	protein_coding	1	1	0	12	0	0	0	0	0	0	12	0	0	0	1	1	0
