# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_region_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ATP1B2	ENSG00000129244	ENST00000250111	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0
BCL2	ENSG00000171791	ENST00000333681	protein_coding	0	1	0	4	3	0	0	1	0	0	1	0
BCL2	ENSG00000171791	ENST00000398117	protein_coding	0	1	0	4	4	0	0	0	0	0	1	0
BCL2	ENSG00000171791	ENST00000589955	protein_coding	0	1	0	4	1	0	0	0	0	0	1	3
BCL6	ENSG00000113916	ENST00000406870	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0
BCL6	ENSG00000113916	ENST00000621333	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0
BIRC3	ENSG00000023445	ENST00000263464	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0
BIRC3	ENSG00000023445	ENST00000526421	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0
BIRC3	ENSG00000023445	ENST00000527309	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0
BIRC3	ENSG00000023445	ENST00000532808	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0
BIRC3	ENSG00000023445	ENST00000615299	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0
BIRC3	ENSG00000023445	ENST00000673846	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0
CREBBP	ENSG00000005339	ENST00000262367	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0
CREBBP	ENSG00000005339	ENST00000382070	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0
CREBBP	ENSG00000005339	ENST00000570939	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0
CREBBP	ENSG00000005339	ENST00000573517	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0
ENSG00000285938	ENSG00000285938	ENST00000648485	protein_coding	0	0	0	2	0	0	0	1	0	0	0	1
IGHD7-27	ENSG00000236597	ENST00000439842	IG_D_gene	0	0	0	1	0	1	0	0	0	0	0	0
IGHE	ENSG00000211891	ENST00000390541	IG_C_gene	0	0	0	2	0	0	0	0	0	0	0	2
IGHE	ENSG00000211891	ENST00000641420	IG_C_gene	0	0	0	2	0	0	0	0	0	0	0	2
IGHG1	ENSG00000211896	ENST00000390542	IG_C_gene	0	0	0	2	0	0	0	0	0	0	0	2
IGHG1	ENSG00000211896	ENST00000390548	IG_C_gene	0	0	0	2	0	0	0	0	0	0	0	2
IGHG1	ENSG00000211896	ENST00000390549	IG_C_gene	0	0	0	2	0	0	0	0	0	0	0	2
IGHJ1	ENSG00000211905	ENST00000390565	IG_J_gene	0	0	0	1	0	1	0	0	0	0	0	0
IGHJ2	ENSG00000211904	ENST00000390564	IG_J_gene	0	0	0	1	0	1	0	0	0	0	0	0
IGHJ3	ENSG00000242887	ENST00000463911	IG_J_gene	0	0	0	1	0	1	0	0	0	0	0	0
IGHJ4	ENSG00000240041	ENST00000461719	IG_J_gene	0	0	0	1	0	1	0	0	0	0	0	0
IGHJ5	ENSG00000242472	ENST00000488476	IG_J_gene	0	0	0	1	0	1	0	0	0	0	0	0
IGHJ6	ENSG00000211900	ENST00000390560	IG_J_gene	0	0	0	1	0	1	0	0	0	0	0	0
KMT2D	ENSG00000167548	ENST00000301067	protein_coding	1	0	0	0	0	0	1	0	0	0	0	0
KMT2D	ENSG00000167548	ENST00000683543	protein_coding	1	0	0	0	0	0	1	0	0	0	0	0
KMT2D	ENSG00000167548	ENST00000685166	protein_coding	1	0	0	0	0	0	1	0	0	0	0	0
KMT2D	ENSG00000167548	ENST00000692637	protein_coding	1	0	0	0	0	0	1	0	0	0	0	0
TP53	ENSG00000141510	ENST00000359597	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0
TP53	ENSG00000141510	ENST00000413465	protein_coding	0	1	0	0	0	0	0	1	0	1	0	0
