# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
AKT1	ENSG00000142208	ENST00000349310	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0
AKT1	ENSG00000142208	ENST00000402615	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0
AKT1	ENSG00000142208	ENST00000407796	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0
AKT1	ENSG00000142208	ENST00000553797	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0
AKT1	ENSG00000142208	ENST00000554192	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
AKT1	ENSG00000142208	ENST00000554581	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0
AKT1	ENSG00000142208	ENST00000554848	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0
AKT1	ENSG00000142208	ENST00000555458	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
AKT1	ENSG00000142208	ENST00000555528	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0
AKT1	ENSG00000142208	ENST00000649815	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0
AKT1	ENSG00000142208	ENST00000683722	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0
APC	ENSG00000134982	ENST00000507379	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
APC	ENSG00000134982	ENST00000509732	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
AR	ENSG00000169083	ENST00000374690	protein_coding	0	0	1	1	0	0	0	0	1	1	0	0	0	0
AR	ENSG00000169083	ENST00000396044	protein_coding	0	0	1	1	0	0	0	0	1	1	0	0	0	0
AR	ENSG00000169083	ENST00000504326	protein_coding	0	0	1	1	0	0	0	0	1	1	0	0	0	0
ATR	ENSG00000175054	ENST00000350721	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0
ATR	ENSG00000175054	ENST00000661310	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0
ATRX	ENSG00000085224	ENST00000373344	protein_coding	0	0	1	2	0	0	1	0	1	1	0	0	0	0
ATRX	ENSG00000085224	ENST00000395603	protein_coding	0	0	1	2	0	0	1	0	1	1	0	0	0	0
ATRX	ENSG00000085224	ENST00000493470	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2
ATRX	ENSG00000085224	ENST00000622960	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0
ATRX	ENSG00000085224	ENST00000623321	protein_coding	0	0	0	3	0	0	1	1	1	0	0	0	0	0
