#category	term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO Process	GO:0006302	Double-strand break repair	7	204	1.75	1.73e-07	9606.ENSP00000259008,9606.ENSP00000269305,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000348089,9606.ENSP00000418960,9606.ENSP00000498215	BRIP1,TP53,FANCD2,ERCC4,ERCC6,BRCA1,FANCB
GO Process	GO:0000075	Cell cycle checkpoint signaling	6	157	1.8	2.03e-06	9606.ENSP00000257430,9606.ENSP00000259008,9606.ENSP00000269305,9606.ENSP00000287647,9606.ENSP00000348089,9606.ENSP00000418960	APC,BRIP1,TP53,FANCD2,ERCC6,BRCA1
GO Process	GO:0045786	Negative regulation of cell cycle	7	359	1.51	2.75e-06	9606.ENSP00000257430,9606.ENSP00000259008,9606.ENSP00000269305,9606.ENSP00000287647,9606.ENSP00000348089,9606.ENSP00000418915,9606.ENSP00000418960	APC,BRIP1,TP53,FANCD2,ERCC6,CDKN2A,BRCA1
GO Process	GO:0006974	Cellular response to DNA damage stimulus	8	744	1.25	7.20e-06	9606.ENSP00000257430,9606.ENSP00000259008,9606.ENSP00000269305,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000348089,9606.ENSP00000418960,9606.ENSP00000498215	APC,BRIP1,TP53,FANCD2,ERCC4,ERCC6,BRCA1,FANCB
GO Process	GO:1901987	Regulation of cell cycle phase transition	7	431	1.43	7.20e-06	9606.ENSP00000257430,9606.ENSP00000259008,9606.ENSP00000269305,9606.ENSP00000287647,9606.ENSP00000348089,9606.ENSP00000418915,9606.ENSP00000418960	APC,BRIP1,TP53,FANCD2,ERCC6,CDKN2A,BRCA1
GO Process	GO:0000077	DNA damage checkpoint signaling	5	105	1.89	8.49e-06	9606.ENSP00000259008,9606.ENSP00000269305,9606.ENSP00000287647,9606.ENSP00000348089,9606.ENSP00000418960	BRIP1,TP53,FANCD2,ERCC6,BRCA1
GO Process	GO:2001020	Regulation of response to DNA damage stimulus	6	316	1.49	2.02e-05	9606.ENSP00000269305,9606.ENSP00000310520,9606.ENSP00000348089,9606.ENSP00000418915,9606.ENSP00000418960,9606.ENSP00000498215	TP53,ERCC4,ERCC6,CDKN2A,BRCA1,FANCB
GO Process	GO:0033554	Cellular response to stress	9	1572	0.97	2.86e-05	9606.ENSP00000257430,9606.ENSP00000259008,9606.ENSP00000269305,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000348089,9606.ENSP00000418915,9606.ENSP00000418960,9606.ENSP00000498215	APC,BRIP1,TP53,FANCD2,ERCC4,ERCC6,CDKN2A,BRCA1,FANCB
GO Process	GO:0006289	Nucleotide-excision repair	4	57	2.06	4.52e-05	9606.ENSP00000259008,9606.ENSP00000269305,9606.ENSP00000310520,9606.ENSP00000348089	BRIP1,TP53,ERCC4,ERCC6
GO Process	GO:0051726	Regulation of cell cycle	8	1108	1.07	4.52e-05	9606.ENSP00000257430,9606.ENSP00000259008,9606.ENSP00000269305,9606.ENSP00000287647,9606.ENSP00000348089,9606.ENSP00000398880,9606.ENSP00000418915,9606.ENSP00000418960	APC,BRIP1,TP53,FANCD2,ERCC6,CDK12,CDKN2A,BRCA1
GO Process	GO:0035825	Homologous recombination	4	63	2.02	5.74e-05	9606.ENSP00000259008,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000418960	BRIP1,FANCD2,ERCC4,BRCA1
GO Process	GO:0048519	Negative regulation of biological process	12	5313	0.57	0.00012	9606.ENSP00000257430,9606.ENSP00000259008,9606.ENSP00000269305,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000348089,9606.ENSP00000358918,9606.ENSP00000360141,9606.ENSP00000398880,9606.ENSP00000418915,9606.ENSP00000418960,9606.ENSP00000498215	APC,BRIP1,TP53,FANCD2,ERCC4,ERCC6,SUFU,GNAS,CDK12,CDKN2A,BRCA1,FANCB
GO Process	GO:0006310	DNA recombination	5	235	1.54	0.00015	9606.ENSP00000259008,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000418960,9606.ENSP00000498215	BRIP1,FANCD2,ERCC4,BRCA1,FANCB
GO Process	GO:0051052	Regulation of DNA metabolic process	6	541	1.26	0.00027	9606.ENSP00000269305,9606.ENSP00000310520,9606.ENSP00000348089,9606.ENSP00000418915,9606.ENSP00000418960,9606.ENSP00000498215	TP53,ERCC4,ERCC6,CDKN2A,BRCA1,FANCB
GO Process	GO:0090304	Nucleic acid metabolic process	9	2203	0.83	0.00032	9606.ENSP00000259008,9606.ENSP00000269305,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000348089,9606.ENSP00000398880,9606.ENSP00000418915,9606.ENSP00000418960,9606.ENSP00000498215	BRIP1,TP53,FANCD2,ERCC4,ERCC6,CDK12,CDKN2A,BRCA1,FANCB
GO Process	GO:0007093	Mitotic cell cycle checkpoint signaling	4	127	1.71	0.00060	9606.ENSP00000257430,9606.ENSP00000269305,9606.ENSP00000287647,9606.ENSP00000418960	APC,TP53,FANCD2,BRCA1
