# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ABL2	ENSG00000143322	ENST00000344730	protein_coding	0	0	0	10	0	0	0	0	0	6	0	0	0	0	0	0	0	0	4
ABL2	ENSG00000143322	ENST00000367623	protein_coding	0	0	0	19	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0
ABL2	ENSG00000143322	ENST00000392043	protein_coding	0	0	0	19	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0
ABL2	ENSG00000143322	ENST00000408940	protein_coding	0	0	0	10	0	0	0	0	0	6	0	0	0	0	0	0	0	0	4
ABL2	ENSG00000143322	ENST00000502732	protein_coding	0	0	0	19	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0
ABL2	ENSG00000143322	ENST00000504405	protein_coding	0	0	0	10	0	0	0	0	0	6	0	0	0	0	0	0	0	0	4
ABL2	ENSG00000143322	ENST00000507173	protein_coding	0	0	0	19	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0
ABL2	ENSG00000143322	ENST00000511413	protein_coding	0	0	0	19	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0
ABL2	ENSG00000143322	ENST00000512653	protein_coding	0	0	0	10	0	0	0	0	0	6	0	0	0	0	0	0	0	0	4
AC119673.1	ENSG00000268313	ENST00000598338	protein_coding	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
ACTR5	ENSG00000101442	ENST00000243903	protein_coding	0	0	1	4	0	0	0	2	0	2	1	0	0	1	0	0	0	0	0
ADAM22	ENSG00000008277	ENST00000265727	protein_coding	0	0	0	31	0	0	0	0	0	29	0	0	0	0	0	0	0	0	2
ADAM22	ENSG00000008277	ENST00000315984	protein_coding	0	0	0	31	0	0	0	0	0	29	0	0	0	0	0	0	0	0	2
ADAM22	ENSG00000008277	ENST00000398201	protein_coding	0	0	0	31	0	0	0	0	0	29	0	0	0	0	0	0	0	0	2
ADAM22	ENSG00000008277	ENST00000398203	protein_coding	0	0	0	31	0	0	0	0	0	29	0	0	0	0	0	0	0	0	2
ADAM22	ENSG00000008277	ENST00000398204	protein_coding	0	0	0	31	0	0	0	0	0	29	0	0	0	0	0	0	0	0	2
ADAM22	ENSG00000008277	ENST00000398209	protein_coding	0	0	0	31	0	0	0	0	0	29	0	0	0	0	0	0	0	0	2
ADAM22	ENSG00000008277	ENST00000412441	protein_coding	0	0	0	31	0	0	0	0	0	29	0	0	0	0	0	0	0	0	2
ADAM22	ENSG00000008277	ENST00000439864	protein_coding	0	0	0	31	0	0	0	0	0	29	0	0	0	0	0	0	0	0	2
AE000662.92	ENSG00000259003	ENST00000557595	protein_coding	0	1	0	3	0	0	0	0	0	3	0	0	0	1	0	0	0	1	0
AKT3	ENSG00000117020	ENST00000263826	protein_coding	0	0	0	4	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0
AKT3	ENSG00000117020	ENST00000336199	protein_coding	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
AKT3	ENSG00000117020	ENST00000366539	protein_coding	0	0	0	4	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0
AKT3	ENSG00000117020	ENST00000366540	protein_coding	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
AL161450.1	ENSG00000268155	ENST00000601793	protein_coding	0	0	0	7	0	0	0	1	0	6	0	0	0	0	0	0	0	0	0
ALK	ENSG00000171094	ENST00000389048	protein_coding	0	0	0	6	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
ALK	ENSG00000171094	ENST00000431873	protein_coding	0	0	0	6	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
ANGPTL7	ENSG00000171819	ENST00000376819	protein_coding	0	0	0	10	0	0	0	7	0	1	0	0	0	0	0	0	0	0	2
AP000304.12	ENSG00000249209	ENST00000429238	protein_coding	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
AP4E1	ENSG00000081014	ENST00000261842	protein_coding	1	0	0	9	0	0	0	0	0	9	0	0	0	0	1	0	0	0	0
AP4E1	ENSG00000081014	ENST00000560508	protein_coding	1	0	0	9	0	0	0	0	0	9	0	0	0	0	1	0	0	0	0
ARCN1	ENSG00000095139	ENST00000264028	protein_coding	0	0	0	38	15	0	0	12	0	11	0	0	0	0	0	0	0	0	0
ARCN1	ENSG00000095139	ENST00000359415	protein_coding	0	0	0	38	15	0	0	12	0	11	0	0	0	0	0	0	0	0	0
ARCN1	ENSG00000095139	ENST00000392859	protein_coding	0	0	0	30	0	0	0	19	0	11	0	0	0	0	0	0	0	0	0
ARCN1	ENSG00000095139	ENST00000534182	protein_coding	0	1	0	37	10	0	0	11	0	16	0	0	0	0	0	0	0	1	0
ARPC1A	ENSG00000241685	ENST00000262942	protein_coding	0	0	1	84	0	0	0	15	0	68	1	0	0	0	0	0	0	0	1
ARPC1A	ENSG00000241685	ENST00000432884	protein_coding	0	4	1	123	1	0	1	5	0	116	1	0	0	1	0	0	1	2	1
ARPC1B	ENSG00000130429	ENST00000252725	protein_coding	0	6	2	45	2	0	0	5	0	24	2	0	0	1	0	0	0	5	15
ARPC1B	ENSG00000130429	ENST00000414376	protein_coding	0	3	2	45	0	0	2	5	0	22	2	0	0	1	0	0	0	2	17
ARPC1B	ENSG00000130429	ENST00000417330	protein_coding	0	3	2	41	0	0	0	5	0	22	2	0	0	1	0	0	0	2	15
ARPC1B	ENSG00000130429	ENST00000418347	protein_coding	0	3	2	41	0	0	0	5	0	22	2	0	0	1	0	0	0	2	15
ARPC1B	ENSG00000130429	ENST00000427217	protein_coding	0	3	2	41	0	0	0	5	0	22	2	0	0	1	0	0	0	2	15
ARPC1B	ENSG00000130429	ENST00000429246	protein_coding	0	5	0	38	0	2	3	6	0	15	0	0	0	1	0	0	0	2	15
ARPC1B	ENSG00000130429	ENST00000431816	protein_coding	0	3	2	41	0	0	0	5	0	22	2	0	0	1	0	0	0	2	15
ARPC1B	ENSG00000130429	ENST00000443222	protein_coding	0	3	2	45	0	0	2	5	0	22	2	0	0	1	0	0	0	2	17
ARPC1B	ENSG00000130429	ENST00000451682	protein_coding	0	6	2	45	2	0	0	5	0	24	2	0	0	1	0	0	0	5	15
ARPC1B	ENSG00000130429	ENST00000455009	protein_coding	0	3	2	41	0	0	0	5	0	22	2	0	0	1	0	0	0	2	15
ARPC1B	ENSG00000130429	ENST00000458033	protein_coding	0	3	2	41	0	0	0	5	0	22	2	0	0	1	0	0	0	2	15
ASIC2	ENSG00000108684	ENST00000225823	protein_coding	0	2	1	32	0	0	0	9	0	23	1	0	0	0	0	0	0	2	0
ASIC2	ENSG00000108684	ENST00000359872	protein_coding	0	2	1	32	0	0	0	9	0	23	1	0	0	0	0	0	0	2	0
ATM	ENSG00000149311	ENST00000278616	protein_coding	0	0	0	5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
ATM	ENSG00000149311	ENST00000452508	protein_coding	0	0	0	5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
ATP5J2-PTCD1	ENSG00000248919	ENST00000413834	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
BICD2	ENSG00000185963	ENST00000356884	protein_coding	0	5	3	25	7	0	0	4	0	14	3	0	0	1	0	0	0	5	0
BICD2	ENSG00000185963	ENST00000375512	protein_coding	0	5	3	25	1	0	0	4	0	20	3	0	0	1	0	0	0	5	0
BRIP1	ENSG00000136492	ENST00000259008	protein_coding	1	0	4	15	0	0	0	0	0	15	4	0	0	0	1	0	0	0	0
BRIP1	ENSG00000136492	ENST00000577598	protein_coding	1	0	4	15	0	0	0	0	0	15	4	0	0	0	1	0	0	0	0
BRIP1	ENSG00000136492	ENST00000577913	protein_coding	0	0	0	12	0	0	0	9	0	3	0	0	0	0	0	0	0	0	0
BUD31	ENSG00000106245	ENST00000222969	protein_coding	0	0	0	20	0	0	0	0	0	14	0	0	0	0	0	0	0	0	6
BUD31	ENSG00000106245	ENST00000403633	protein_coding	0	0	0	20	0	0	0	0	0	14	0	0	0	0	0	0	0	0	6
BUD31	ENSG00000106245	ENST00000431419	protein_coding	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
BUD31	ENSG00000106245	ENST00000456893	protein_coding	0	0	0	20	0	0	0	0	0	9	0	0	0	0	0	0	0	0	11
C11orf65	ENSG00000166323	ENST00000393084	protein_coding	0	1	0	73	0	0	0	6	0	67	0	0	0	0	0	0	0	1	0
C11orf65	ENSG00000166323	ENST00000524755	protein_coding	0	0	0	31	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0
C11orf65	ENSG00000166323	ENST00000525729	protein_coding	0	0	0	83	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0
C11orf65	ENSG00000166323	ENST00000529391	protein_coding	0	1	0	73	0	0	0	6	0	56	0	0	0	0	0	0	0	1	11
C11orf65	ENSG00000166323	ENST00000533583	protein_coding	0	0	0	57	0	0	0	0	0	46	0	0	0	0	0	0	0	0	11
C19orf38	ENSG00000214212	ENST00000397820	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
C19orf38	ENSG00000214212	ENST00000592854	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
C19orf47	ENSG00000160392	ENST00000392035	protein_coding	0	0	0	7	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0
C19orf47	ENSG00000160392	ENST00000580606	protein_coding	0	0	0	7	0	0	0	0	0	5	0	0	0	0	0	0	0	0	2
C19orf47	ENSG00000160392	ENST00000582006	protein_coding	0	0	0	7	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0
