# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ABCC3	ENSG00000108846	ENST00000285238	protein_coding	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0
ABCC3	ENSG00000108846	ENST00000427699	protein_coding	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0
AC138655.1	ENSG00000269563	ENST00000601243	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
ACBD3	ENSG00000182827	ENST00000366812	protein_coding	0	0	0	6	0	0	0	0	0	0	4	0	0	0	0	0	2
ACOT12	ENSG00000172497	ENST00000307624	protein_coding	0	0	0	5	0	0	0	0	0	0	5	0	0	0	0	0	0
ACOT12	ENSG00000172497	ENST00000513751	protein_coding	0	0	0	5	0	0	0	0	1	0	4	0	0	0	0	0	0
AGBL2	ENSG00000165923	ENST00000298861	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
AGBL2	ENSG00000165923	ENST00000357610	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
AGBL2	ENSG00000165923	ENST00000525123	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
AGPAT5	ENSG00000155189	ENST00000285518	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
AL360004.1	ENSG00000196979	ENST00000358748	protein_coding	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1
ALK	ENSG00000171094	ENST00000389048	protein_coding	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0
ALK	ENSG00000171094	ENST00000431873	protein_coding	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0
ANGPT2	ENSG00000091879	ENST00000325203	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
ANGPT2	ENSG00000091879	ENST00000338312	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
