# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_disruptive_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ALK	ENSG00000171094	ENST00000389048	protein_coding	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0
ALK	ENSG00000171094	ENST00000453137	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3
ALK	ENSG00000171094	ENST00000618119	protein_coding	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0
ALK	ENSG00000171094	ENST00000642122	protein_coding	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	2
APC	ENSG00000134982	ENST00000507379	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2
APC	ENSG00000134982	ENST00000509732	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2
AR	ENSG00000169083	ENST00000374690	protein_coding	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0
AR	ENSG00000169083	ENST00000396044	protein_coding	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0
AR	ENSG00000169083	ENST00000504326	protein_coding	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0
ARID1A	ENSG00000117713	ENST00000324856	protein_coding	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0
ARID1A	ENSG00000117713	ENST00000374152	protein_coding	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0
ARID1A	ENSG00000117713	ENST00000430799	protein_coding	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0
ARID1A	ENSG00000117713	ENST00000457599	protein_coding	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0
ARID1A	ENSG00000117713	ENST00000524572	protein_coding	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0
ARID1A	ENSG00000117713	ENST00000636219	protein_coding	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0
ARID1A	ENSG00000117713	ENST00000637465	protein_coding	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0
ATM	ENSG00000149311	ENST00000452508	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0
ATM	ENSG00000149311	ENST00000675843	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0
ATR	ENSG00000175054	ENST00000350721	protein_coding	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0
ATR	ENSG00000175054	ENST00000661310	protein_coding	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0
ATRX	ENSG00000085224	ENST00000373344	protein_coding	0	0	1	2	0	0	1	0	0	0	1	1	0	0	0	0
ATRX	ENSG00000085224	ENST00000395603	protein_coding	0	0	1	2	0	0	1	0	0	0	1	1	0	0	0	0
ATRX	ENSG00000085224	ENST00000493470	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2
ATRX	ENSG00000085224	ENST00000622960	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
ATRX	ENSG00000085224	ENST00000623321	protein_coding	0	0	0	3	0	0	1	0	1	0	1	0	0	0	0	0
ATRX	ENSG00000085224	ENST00000624032	protein_coding	0	0	0	3	0	0	1	0	1	0	1	0	0	0	0	0
ATRX	ENSG00000085224	ENST00000624166	protein_coding	0	0	1	2	0	0	1	0	0	0	1	1	0	0	0	0
ATRX	ENSG00000085224	ENST00000624668	protein_coding	0	0	0	3	0	0	1	0	2	0	0	0	0	0	0	0
ATRX	ENSG00000085224	ENST00000625063	protein_coding	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0
AXIN2	ENSG00000168646	ENST00000307078	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
AXIN2	ENSG00000168646	ENST00000375702	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
AXIN2	ENSG00000168646	ENST00000618960	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
BARD1	ENSG00000138376	ENST00000260947	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0
BARD1	ENSG00000138376	ENST00000421162	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0
BARD1	ENSG00000138376	ENST00000613374	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0
BARD1	ENSG00000138376	ENST00000613706	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0
BARD1	ENSG00000138376	ENST00000617164	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0
BARD1	ENSG00000138376	ENST00000619009	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0
BARD1	ENSG00000138376	ENST00000620057	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0
BIVM-ERCC5	ENSG00000270181	ENST00000639132	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
BIVM-ERCC5	ENSG00000270181	ENST00000639435	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
BLM	ENSG00000197299	ENST00000355112	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
BLM	ENSG00000197299	ENST00000560509	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
BLM	ENSG00000197299	ENST00000648453	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
BLM	ENSG00000197299	ENST00000680772	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
BLM	ENSG00000197299	ENST00000681142	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000352993	protein_coding	0	0	0	8	0	0	0	0	0	0	8	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000354071	protein_coding	0	0	2	2	0	0	0	0	0	0	2	2	0	0	0	0
BRCA1	ENSG00000012048	ENST00000357654	protein_coding	0	0	2	6	0	0	0	0	0	0	6	2	0	0	0	0
BRCA1	ENSG00000012048	ENST00000461574	protein_coding	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	3
BRCA1	ENSG00000012048	ENST00000468300	protein_coding	0	0	0	8	0	0	0	0	0	0	8	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000470026	protein_coding	0	0	1	3	0	0	0	0	1	0	2	1	0	0	0	0
BRCA1	ENSG00000012048	ENST00000471181	protein_coding	0	0	2	6	0	0	0	0	0	0	6	2	0	0	0	0
BRCA1	ENSG00000012048	ENST00000473961	protein_coding	0	0	1	3	0	0	0	0	1	0	2	1	0	0	0	0
BRCA1	ENSG00000012048	ENST00000476777	protein_coding	0	0	0	4	0	0	0	0	2	0	2	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000477152	protein_coding	0	0	1	3	0	0	0	0	1	0	2	1	0	0	0	0
