#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
APC	HDAC1	9606.ENSP00000257430	9606.ENSP00000362649	0	0	0	0	0.057	0.068	0.500	0	0.522
AR	TP53	9606.ENSP00000363822	9606.ENSP00000269305	0	0	0	0	0	0.439	0	0	0.439
AR	PGR	9606.ENSP00000363822	9606.ENSP00000325120	0	0	0	0.806	0.124	0	0.500	0	0.543
AR	HDAC1	9606.ENSP00000363822	9606.ENSP00000362649	0	0	0	0	0	0.789	0	0	0.789
AR	ERG	9606.ENSP00000363822	9606.ENSP00000414150	0	0	0	0	0.043	0.625	0	0	0.625
AR	BRCA1	9606.ENSP00000363822	9606.ENSP00000418960	0	0	0	0	0	0.612	0	0	0.612
ATM	MSH2	9606.ENSP00000278616	9606.ENSP00000233146	0	0	0	0	0.066	0.324	0.900	0	0.931
ATM	BRIP1	9606.ENSP00000278616	9606.ENSP00000259008	0	0	0	0	0.042	0	0.800	0	0.800
ATM	BARD1	9606.ENSP00000278616	9606.ENSP00000260947	0	0	0	0	0.044	0.070	0.500	0	0.516
ATM	TP53	9606.ENSP00000278616	9606.ENSP00000269305	0	0	0	0	0.103	0.928	0.900	0	0.993
ATM	MLH3	9606.ENSP00000278616	9606.ENSP00000348020	0	0	0	0	0.086	0	0.540	0	0.561
ATM	POLE	9606.ENSP00000278616	9606.ENSP00000322570	0	0	0	0	0.093	0	0.400	0	0.432
ATM	SLX4	9606.ENSP00000278616	9606.ENSP00000294008	0	0	0	0	0	0	0.500	0	0.499
ATM	CDK12	9606.ENSP00000278616	9606.ENSP00000398880	0	0	0	0	0.088	0	0.500	0	0.524
ATM	ERCC3	9606.ENSP00000278616	9606.ENSP00000285398	0	0	0	0	0.106	0	0.540	0	0.571
ATM	ERCC4	9606.ENSP00000278616	9606.ENSP00000310520	0	0	0	0	0.060	0	0.900	0	0.901
ATM	FANCD2	9606.ENSP00000278616	9606.ENSP00000287647	0	0	0	0	0.044	0.321	0.540	0	0.675
ATM	BRCA1	9606.ENSP00000278616	9606.ENSP00000418960	0	0	0	0	0.042	0.847	0.900	0	0.984
BARD1	BRIP1	9606.ENSP00000260947	9606.ENSP00000259008	0	0	0	0	0.112	0.994	0.540	0	0.997
BARD1	ERCC4	9606.ENSP00000260947	9606.ENSP00000310520	0	0	0	0	0.084	0.051	0.400	0	0.433
BARD1	SLX4	9606.ENSP00000260947	9606.ENSP00000294008	0	0	0	0	0.061	0.047	0.500	0	0.513
BARD1	POLE	9606.ENSP00000260947	9606.ENSP00000322570	0	0	0	0	0.238	0	0.400	0	0.523
BARD1	ATM	9606.ENSP00000260947	9606.ENSP00000278616	0	0	0	0	0.044	0.070	0.500	0	0.516
BARD1	TP53	9606.ENSP00000260947	9606.ENSP00000269305	0	0	0	0	0	0.745	0.500	0	0.867
BARD1	BRCA1	9606.ENSP00000260947	9606.ENSP00000418960	0	0	0	0.552	0.201	0.999	0.900	0	0.999
BRCA1	MSH2	9606.ENSP00000418960	9606.ENSP00000233146	0	0	0	0	0.227	0.725	0.540	0	0.893
BRCA1	BRIP1	9606.ENSP00000418960	9606.ENSP00000259008	0	0	0	0	0.380	0.999	0.900	0	0.999
BRCA1	BARD1	9606.ENSP00000418960	9606.ENSP00000260947	0	0	0	0.552	0.201	0.999	0.900	0	0.999
BRCA1	TP53	9606.ENSP00000418960	9606.ENSP00000269305	0	0	0	0	0.067	0.895	0.500	0	0.946
BRCA1	ATM	9606.ENSP00000418960	9606.ENSP00000278616	0	0	0	0	0.042	0.847	0.900	0	0.984
BRCA1	ERCC3	9606.ENSP00000418960	9606.ENSP00000285398	0	0	0	0	0.049	0	0.540	0	0.543
BRCA1	FANCD2	9606.ENSP00000418960	9606.ENSP00000287647	0	0	0	0	0.472	0.779	0.540	0	0.941
BRCA1	SLX4	9606.ENSP00000418960	9606.ENSP00000294008	0	0	0	0	0.067	0.439	0.500	0	0.715
BRCA1	ERCC4	9606.ENSP00000418960	9606.ENSP00000310520	0	0	0	0	0.102	0.439	0.540	0	0.748
BRCA1	POLE	9606.ENSP00000418960	9606.ENSP00000322570	0	0	0	0	0.370	0.439	0.400	0	0.769
BRCA1	PGR	9606.ENSP00000418960	9606.ENSP00000325120	0	0	0	0	0	0.512	0	0	0.512
BRCA1	MLH3	9606.ENSP00000418960	9606.ENSP00000348020	0	0	0	0	0	0	0.540	0	0.540
BRCA1	ERCC6	9606.ENSP00000418960	9606.ENSP00000348089	0	0	0	0	0.049	0.510	0	0	0.514
BRCA1	PARP1	9606.ENSP00000418960	9606.ENSP00000355759	0	0	0	0	0.085	0.596	0	0	0.615
BRCA1	HDAC1	9606.ENSP00000418960	9606.ENSP00000362649	0	0	0	0	0.055	0.510	0	0	0.517
BRCA1	AR	9606.ENSP00000418960	9606.ENSP00000363822	0	0	0	0	0	0.612	0	0	0.612
BRCA1	CDK12	9606.ENSP00000418960	9606.ENSP00000398880	0	0	0	0	0.049	0	0.500	0	0.504
BRCA1	FANCB	9606.ENSP00000418960	9606.ENSP00000498215	0	0	0	0	0.133	0.439	0	0	0.492
BRCA1	MYC	9606.ENSP00000418960	9606.ENSP00000478887	0	0	0	0	0.049	0.825	0	0	0.826
BRIP1	TP53	9606.ENSP00000259008	9606.ENSP00000269305	0	0	0	0	0.067	0	0.400	0	0.416
BRIP1	POLE	9606.ENSP00000259008	9606.ENSP00000322570	0.042	0	0	0	0.148	0.071	0.400	0	0.484
BRIP1	ERCC4	9606.ENSP00000259008	9606.ENSP00000310520	0	0	0	0	0.123	0	0.400	0	0.451
