# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_region_variant	variants_effect_start_retained_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
AKT1	ENSG00000142208	ENST00000349310	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
AKT1	ENSG00000142208	ENST00000402615	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
AKT1	ENSG00000142208	ENST00000407796	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
AKT1	ENSG00000142208	ENST00000553797	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
AKT1	ENSG00000142208	ENST00000554581	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
AKT1	ENSG00000142208	ENST00000554848	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
AKT1	ENSG00000142208	ENST00000555528	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
AKT1	ENSG00000142208	ENST00000649815	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
AKT1	ENSG00000142208	ENST00000683722	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
APC	ENSG00000134982	ENST00000257430	protein_coding	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0
APC	ENSG00000134982	ENST00000504915	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
APC	ENSG00000134982	ENST00000507379	protein_coding	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0
APC	ENSG00000134982	ENST00000508376	protein_coding	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0
APC	ENSG00000134982	ENST00000512211	protein_coding	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0
