# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_disruptive_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_retained_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ABCB1	ENSG00000085563	ENST00000265724	protein_coding	2	1	1	2	0	0	0	0	0	0	1	4	1	1	0	2	0	0	0	0
ABCB1	ENSG00000085563	ENST00000543898	protein_coding	2	1	1	2	0	0	0	0	0	0	1	4	1	1	0	2	0	0	0	0
ABCB1	ENSG00000085563	ENST00000622132	protein_coding	2	1	1	2	0	0	0	0	0	0	1	4	1	1	0	2	0	0	0	0
ABCC2	ENSG00000023839	ENST00000647814	protein_coding	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
ABCC2	ENSG00000023839	ENST00000648689	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABL1	ENSG00000097007	ENST00000318560	protein_coding	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABL1	ENSG00000097007	ENST00000372348	protein_coding	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABL2	ENSG00000143322	ENST00000344730	protein_coding	1	0	2	1	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0
ABL2	ENSG00000143322	ENST00000367623	protein_coding	1	1	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0
ABL2	ENSG00000143322	ENST00000392043	protein_coding	1	0	2	1	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0
ABL2	ENSG00000143322	ENST00000502732	protein_coding	1	1	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0
ABL2	ENSG00000143322	ENST00000504405	protein_coding	1	0	2	1	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0
ABL2	ENSG00000143322	ENST00000507173	protein_coding	1	0	2	1	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0
ABL2	ENSG00000143322	ENST00000511413	protein_coding	1	0	2	1	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0
ABL2	ENSG00000143322	ENST00000512653	protein_coding	1	1	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0
AKT1	ENSG00000142208	ENST00000349310	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AKT1	ENSG00000142208	ENST00000402615	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AKT1	ENSG00000142208	ENST00000407796	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AKT1	ENSG00000142208	ENST00000553797	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AKT1	ENSG00000142208	ENST00000554192	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AKT1	ENSG00000142208	ENST00000554581	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AKT1	ENSG00000142208	ENST00000554848	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AKT1	ENSG00000142208	ENST00000555458	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AKT1	ENSG00000142208	ENST00000555528	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AKT1	ENSG00000142208	ENST00000649815	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
