# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
AR	ENSG00000169083	ENST00000374690	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0
AR	ENSG00000169083	ENST00000396044	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0
AR	ENSG00000169083	ENST00000504326	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
ARID1A	ENSG00000117713	ENST00000324856	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0
ARID1A	ENSG00000117713	ENST00000374152	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0
ARID1A	ENSG00000117713	ENST00000430799	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0
ARID1A	ENSG00000117713	ENST00000457599	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
ARID1A	ENSG00000117713	ENST00000636219	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0
ARID1B	ENSG00000049618	ENST00000319584	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0
ARID1B	ENSG00000049618	ENST00000346085	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
ARID1B	ENSG00000049618	ENST00000350026	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
ARID1B	ENSG00000049618	ENST00000400790	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
ARID1B	ENSG00000049618	ENST00000414678	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0
ARID1B	ENSG00000049618	ENST00000635849	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0
ARID1B	ENSG00000049618	ENST00000635957	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0
ARID1B	ENSG00000049618	ENST00000636930	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0
ARID1B	ENSG00000049618	ENST00000637015	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0
ARID1B	ENSG00000049618	ENST00000637810	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
ARID1B	ENSG00000049618	ENST00000637904	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0
ARID1B	ENSG00000049618	ENST00000647938	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
ATM	ENSG00000149311	ENST00000452508	protein_coding	0	0	1	3	0	0	0	3	1	0	0	0	0	0
ATM	ENSG00000149311	ENST00000531525	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ATM	ENSG00000149311	ENST00000675843	protein_coding	0	0	1	3	0	0	0	3	1	0	0	0	0	0
BIVM-ERCC5	ENSG00000270181	ENST00000639132	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
BIVM-ERCC5	ENSG00000270181	ENST00000639435	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
BMPR1A	ENSG00000107779	ENST00000372037	protein_coding	1	0	0	0	0	0	0	1	0	1	0	0	0	0
BRCA1	ENSG00000012048	ENST00000352993	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000354071	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000357654	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000461574	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
BRCA1	ENSG00000012048	ENST00000468300	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000470026	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000471181	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000473961	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000476777	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000477152	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000478531	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000484087	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000487825	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0
