# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_disruptive_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ARHGEF1	ENSG00000076928	ENST00000347545	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ARHGEF1	ENSG00000076928	ENST00000354532	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ARHGEF1	ENSG00000076928	ENST00000599846	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ARID1A	ENSG00000117713	ENST00000324856	protein_coding	0	0	3	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0
ARID1A	ENSG00000117713	ENST00000374152	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ARID1A	ENSG00000117713	ENST00000430799	protein_coding	0	0	1	2	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0
ARID1A	ENSG00000117713	ENST00000457599	protein_coding	0	0	3	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0
ARID1A	ENSG00000117713	ENST00000636219	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ARID1A	ENSG00000117713	ENST00000637465	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ATM	ENSG00000149311	ENST00000452508	protein_coding	3	0	1	0	0	0	0	0	0	0	2	1	1	1	0	0	0	0	0	0
ATM	ENSG00000149311	ENST00000526567	protein_coding	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
ATM	ENSG00000149311	ENST00000530958	protein_coding	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
ATM	ENSG00000149311	ENST00000531525	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ATM	ENSG00000149311	ENST00000532931	protein_coding	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
ATM	ENSG00000149311	ENST00000601453	protein_coding	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
ATM	ENSG00000149311	ENST00000639240	protein_coding	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
ATM	ENSG00000149311	ENST00000639953	protein_coding	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
ATM	ENSG00000149311	ENST00000640388	protein_coding	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
ATM	ENSG00000149311	ENST00000675843	protein_coding	3	0	1	0	0	0	0	0	0	0	2	1	1	1	0	0	0	0	0	0
ATM	ENSG00000149311	ENST00000682465	protein_coding	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
ATM	ENSG00000149311	ENST00000683150	protein_coding	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
ATM	ENSG00000149311	ENST00000683468	protein_coding	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
ATM	ENSG00000149311	ENST00000683914	protein_coding	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
ATM	ENSG00000149311	ENST00000684029	protein_coding	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
ATP1B2	ENSG00000129244	ENST00000250111	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
BCL10	ENSG00000142867	ENST00000620248	protein_coding	1	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0
BCL10	ENSG00000142867	ENST00000648566	protein_coding	1	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0
BCL2	ENSG00000171791	ENST00000333681	protein_coding	0	7	5	11	1	0	8	0	0	0	0	2	5	0	0	0	0	0	7	0
BCL2	ENSG00000171791	ENST00000398117	protein_coding	0	7	5	11	1	0	10	0	0	0	0	0	5	0	0	0	0	0	7	0
BCL2	ENSG00000171791	ENST00000589955	protein_coding	0	7	5	10	0	0	4	0	0	0	0	0	5	0	0	0	0	0	7	6
BCL2	ENSG00000171791	ENST00000590515	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
BCL2	ENSG00000171791	ENST00000678301	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BCL6	ENSG00000113916	ENST00000232014	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
BCL6	ENSG00000113916	ENST00000406870	protein_coding	0	0	0	14	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	5
BCL6	ENSG00000113916	ENST00000438077	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
BCL6	ENSG00000113916	ENST00000621333	protein_coding	0	0	0	14	0	0	1	0	0	0	0	9	0	0	0	0	0	0	0	4
BIRC3	ENSG00000023445	ENST00000263464	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
BIRC3	ENSG00000023445	ENST00000526421	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
BIRC3	ENSG00000023445	ENST00000527309	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
BIRC3	ENSG00000023445	ENST00000532808	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
BIRC3	ENSG00000023445	ENST00000615299	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
BIRC3	ENSG00000023445	ENST00000673846	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
BIRC6	ENSG00000115760	ENST00000421745	protein_coding	1	0	5	0	0	0	0	0	0	0	1	0	5	0	0	1	0	0	0	0
BIRC6	ENSG00000115760	ENST00000648282	protein_coding	0	0	4	1	0	0	0	0	0	1	0	0	4	0	0	1	0	0	0	0
BRAF	ENSG00000157764	ENST00000288602	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
BRAF	ENSG00000157764	ENST00000469930	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
BRAF	ENSG00000157764	ENST00000496384	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
BRAF	ENSG00000157764	ENST00000644969	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
BRAF	ENSG00000157764	ENST00000646891	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
BTK	ENSG00000010671	ENST00000308731	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
BTK	ENSG00000010671	ENST00000372880	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
BTK	ENSG00000010671	ENST00000621635	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
BYSL	ENSG00000112578	ENST00000230340	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
C11orf65	ENSG00000166323	ENST00000524755	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
C11orf65	ENSG00000166323	ENST00000525729	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
C11orf65	ENSG00000166323	ENST00000615746	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CARD11	ENSG00000198286	ENST00000355508	protein_coding	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
