#category	term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO Process	GO:0035825	Homologous recombination	5	63	2.05	1.29e-05	9606.ENSP00000259008,9606.ENSP00000287647,9606.ENSP00000294008,9606.ENSP00000310520,9606.ENSP00000418960	BRIP1,FANCD2,SLX4,ERCC4,BRCA1
GO Process	GO:0007131	Reciprocal meiotic recombination	4	56	2.0	0.00059	9606.ENSP00000259008,9606.ENSP00000287647,9606.ENSP00000294008,9606.ENSP00000310520	BRIP1,FANCD2,SLX4,ERCC4
GO Process	GO:0006302	Double-strand break repair	5	204	1.54	0.00086	9606.ENSP00000259008,9606.ENSP00000287647,9606.ENSP00000294008,9606.ENSP00000310520,9606.ENSP00000418960	BRIP1,FANCD2,SLX4,ERCC4,BRCA1
GO Process	GO:0006974	Cellular response to DNA damage stimulus	7	744	1.12	0.00086	9606.ENSP00000257430,9606.ENSP00000259008,9606.ENSP00000287647,9606.ENSP00000294008,9606.ENSP00000310520,9606.ENSP00000418960,9606.ENSP00000500891	APC,BRIP1,FANCD2,SLX4,ERCC4,BRCA1,MUTYH
GO Process	GO:0071495	Cellular response to endogenous stimulus	8	1103	1.01	0.00086	9606.ENSP00000257290,9606.ENSP00000257430,9606.ENSP00000259008,9606.ENSP00000277120,9606.ENSP00000294008,9606.ENSP00000360141,9606.ENSP00000363822,9606.ENSP00000418960	PDGFRA,APC,BRIP1,NTRK2,SLX4,GNAS,AR,BRCA1
GO Process	GO:0006281	DNA repair	6	497	1.23	0.0013	9606.ENSP00000259008,9606.ENSP00000287647,9606.ENSP00000294008,9606.ENSP00000310520,9606.ENSP00000418960,9606.ENSP00000500891	BRIP1,FANCD2,SLX4,ERCC4,BRCA1,MUTYH
GO Process	GO:0045132	Meiotic chromosome segregation	4	98	1.76	0.0013	9606.ENSP00000259008,9606.ENSP00000287647,9606.ENSP00000294008,9606.ENSP00000310520	BRIP1,FANCD2,SLX4,ERCC4
GO Process	GO:0007059	Chromosome segregation	5	286	1.39	0.0017	9606.ENSP00000259008,9606.ENSP00000287647,9606.ENSP00000294008,9606.ENSP00000310520,9606.ENSP00000418960	BRIP1,FANCD2,SLX4,ERCC4,BRCA1
GO Process	GO:0071417	Cellular response to organonitrogen compound	6	574	1.17	0.0020	9606.ENSP00000257290,9606.ENSP00000257430,9606.ENSP00000259008,9606.ENSP00000277120,9606.ENSP00000360141,9606.ENSP00000418960	PDGFRA,APC,BRIP1,NTRK2,GNAS,BRCA1
GO Process	GO:0033554	Cellular response to stress	8	1572	0.85	0.0031	9606.ENSP00000257290,9606.ENSP00000257430,9606.ENSP00000259008,9606.ENSP00000287647,9606.ENSP00000294008,9606.ENSP00000310520,9606.ENSP00000418960,9606.ENSP00000500891	PDGFRA,APC,BRIP1,FANCD2,SLX4,ERCC4,BRCA1,MUTYH
GO Process	GO:1901701	Cellular response to oxygen-containing compound	7	1057	0.97	0.0031	9606.ENSP00000257290,9606.ENSP00000257430,9606.ENSP00000259008,9606.ENSP00000277120,9606.ENSP00000360141,9606.ENSP00000363822,9606.ENSP00000418960	PDGFRA,APC,BRIP1,NTRK2,GNAS,AR,BRCA1
GO Process	GO:0036297	Interstrand cross-link repair	3	41	2.01	0.0032	9606.ENSP00000287647,9606.ENSP00000294008,9606.ENSP00000310520	FANCD2,SLX4,ERCC4
GO Process	GO:0000075	Cell cycle checkpoint signaling	4	157	1.55	0.0033	9606.ENSP00000257430,9606.ENSP00000259008,9606.ENSP00000287647,9606.ENSP00000418960	APC,BRIP1,FANCD2,BRCA1
GO Process	GO:0051716	Cellular response to stimulus	13	6357	0.46	0.0033	9606.ENSP00000257290,9606.ENSP00000257430,9606.ENSP00000259008,9606.ENSP00000277120,9606.ENSP00000287647,9606.ENSP00000294008,9606.ENSP00000310520,9606.ENSP00000358918,9606.ENSP00000360141,9606.ENSP00000363822,9606.ENSP00000382423,9606.ENSP00000418960,9606.ENSP00000500891	PDGFRA,APC,BRIP1,NTRK2,FANCD2,SLX4,ERCC4,SUFU,GNAS,AR,MAP3K1,BRCA1,MUTYH
GO Process	GO:0000706	Meiotic DNA double-strand break processing	2	4	2.85	0.0050	9606.ENSP00000259008,9606.ENSP00000294008	BRIP1,SLX4
GO Process	GO:0048519	Negative regulation of biological process	12	5313	0.5	0.0052	9606.ENSP00000257290,9606.ENSP00000257430,9606.ENSP00000259008,9606.ENSP00000277120,9606.ENSP00000287647,9606.ENSP00000294008,9606.ENSP00000310520,9606.ENSP00000358918,9606.ENSP00000360141,9606.ENSP00000363822,9606.ENSP00000418960,9606.ENSP00000500891	PDGFRA,APC,BRIP1,NTRK2,FANCD2,SLX4,ERCC4,SUFU,GNAS,AR,BRCA1,MUTYH
GO Process	GO:0006289	Nucleotide-excision repair	3	57	1.87	0.0059	9606.ENSP00000259008,9606.ENSP00000294008,9606.ENSP00000310520	BRIP1,SLX4,ERCC4
GO Process	GO:0022402	Cell cycle process	6	835	1.0	0.0076	9606.ENSP00000257430,9606.ENSP00000259008,9606.ENSP00000287647,9606.ENSP00000294008,9606.ENSP00000310520,9606.ENSP00000418960	APC,BRIP1,FANCD2,SLX4,ERCC4,BRCA1
GO Process	GO:1990918	Double-strand break repair involved in meiotic recombination	2	6	2.67	0.0076	9606.ENSP00000259008,9606.ENSP00000287647	BRIP1,FANCD2
GO Process	GO:0048523	Negative regulation of cellular process	11	4736	0.51	0.0133	9606.ENSP00000257290,9606.ENSP00000257430,9606.ENSP00000259008,9606.ENSP00000277120,9606.ENSP00000287647,9606.ENSP00000294008,9606.ENSP00000310520,9606.ENSP00000358918,9606.ENSP00000363822,9606.ENSP00000418960,9606.ENSP00000500891	PDGFRA,APC,BRIP1,NTRK2,FANCD2,SLX4,ERCC4,SUFU,AR,BRCA1,MUTYH
GO Process	GO:2001251	Negative regulation of chromosome organization	3	84	1.7	0.0139	9606.ENSP00000257430,9606.ENSP00000294008,9606.ENSP00000310520	APC,SLX4,ERCC4
GO Process	GO:0022414	Reproductive process	7	1504	0.82	0.0146	9606.ENSP00000257290,9606.ENSP00000259008,9606.ENSP00000287647,9606.ENSP00000294008,9606.ENSP00000310520,9606.ENSP00000360141,9606.ENSP00000363822	PDGFRA,BRIP1,FANCD2,SLX4,ERCC4,GNAS,AR
GO Process	GO:0035556	Intracellular signal transduction	7	1518	0.81	0.0147	9606.ENSP00000257290,9606.ENSP00000257430,9606.ENSP00000259008,9606.ENSP00000287647,9606.ENSP00000363822,9606.ENSP00000382423,9606.ENSP00000418960	PDGFRA,APC,BRIP1,FANCD2,AR,MAP3K1,BRCA1
GO Process	GO:0033327	Leydig cell differentiation	2	12	2.37	0.0166	9606.ENSP00000257290,9606.ENSP00000363822	PDGFRA,AR
GO Process	GO:0048583	Regulation of response to stimulus	10	3931	0.55	0.0174	9606.ENSP00000257290,9606.ENSP00000257430,9606.ENSP00000277120,9606.ENSP00000287647,9606.ENSP00000310520,9606.ENSP00000358918,9606.ENSP00000360141,9606.ENSP00000363822,9606.ENSP00000382423,9606.ENSP00000418960	PDGFRA,APC,NTRK2,FANCD2,ERCC4,SUFU,GNAS,AR,MAP3K1,BRCA1
GO Process	GO:0065009	Regulation of molecular function	9	3085	0.61	0.0196	9606.ENSP00000257290,9606.ENSP00000257430,9606.ENSP00000277120,9606.ENSP00000287647,9606.ENSP00000294008,9606.ENSP00000310520,9606.ENSP00000358918,9606.ENSP00000360141,9606.ENSP00000363822	PDGFRA,APC,NTRK2,FANCD2,SLX4,ERCC4,SUFU,GNAS,AR
GO Process	GO:0000077	DNA damage checkpoint signaling	3	105	1.6	0.0197	9606.ENSP00000259008,9606.ENSP00000287647,9606.ENSP00000418960	BRIP1,FANCD2,BRCA1
GO Process	GO:0072520	Seminiferous tubule development	2	15	2.27	0.0216	9606.ENSP00000259008,9606.ENSP00000363822	BRIP1,AR
GO Process	GO:0000724	Double-strand break repair via homologous recombination	3	114	1.57	0.0225	9606.ENSP00000294008,9606.ENSP00000310520,9606.ENSP00000418960	SLX4,ERCC4,BRCA1
GO Process	GO:1901360	Organic cyclic compound metabolic process	9	3181	0.6	0.0225	9606.ENSP00000257290,9606.ENSP00000259008,9606.ENSP00000287647,9606.ENSP00000294008,9606.ENSP00000310520,9606.ENSP00000363822,9606.ENSP00000364649,9606.ENSP00000418960,9606.ENSP00000500891	PDGFRA,BRIP1,FANCD2,SLX4,ERCC4,AR,SDHB,BRCA1,MUTYH
GO Process	GO:0044237	Cellular metabolic process	12	6568	0.41	0.0250	9606.ENSP00000257290,9606.ENSP00000257430,9606.ENSP00000259008,9606.ENSP00000277120,9606.ENSP00000287647,9606.ENSP00000294008,9606.ENSP00000310520,9606.ENSP00000363822,9606.ENSP00000364649,9606.ENSP00000382423,9606.ENSP00000418960,9606.ENSP00000500891	PDGFRA,APC,BRIP1,NTRK2,FANCD2,SLX4,ERCC4,AR,SDHB,MAP3K1,BRCA1,MUTYH
GO Process	GO:0051129	Negative regulation of cellular component organization	5	691	1.01	0.0250	9606.ENSP00000257430,9606.ENSP00000294008,9606.ENSP00000310520,9606.ENSP00000363822,9606.ENSP00000418960	APC,SLX4,ERCC4,AR,BRCA1
