#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
BRCA1	BRIP1	9606.ENSP00000418960	9606.ENSP00000259008	0	0	0	0	0.380	0.999	0.900	0	0.999
BRCA1	TP53	9606.ENSP00000418960	9606.ENSP00000269305	0	0	0	0	0.067	0.895	0.500	0	0.946
BRCA1	FANCD2	9606.ENSP00000418960	9606.ENSP00000287647	0	0	0	0	0.472	0.779	0.540	0	0.941
BRCA1	ERCC4	9606.ENSP00000418960	9606.ENSP00000310520	0	0	0	0	0.102	0.439	0.540	0	0.748
BRCA1	ERCC6	9606.ENSP00000418960	9606.ENSP00000348089	0	0	0	0	0.049	0.510	0	0	0.514
BRCA1	CDK12	9606.ENSP00000418960	9606.ENSP00000398880	0	0	0	0	0.049	0	0.500	0	0.504
BRCA1	FANCB	9606.ENSP00000418960	9606.ENSP00000498215	0	0	0	0	0.133	0.439	0	0	0.492
BRIP1	TP53	9606.ENSP00000259008	9606.ENSP00000269305	0	0	0	0	0.067	0	0.400	0	0.416
BRIP1	ERCC4	9606.ENSP00000259008	9606.ENSP00000310520	0	0	0	0	0.123	0	0.400	0	0.451
BRIP1	FANCD2	9606.ENSP00000259008	9606.ENSP00000287647	0	0	0	0	0.209	0.515	0	0	0.600
BRIP1	BRCA1	9606.ENSP00000259008	9606.ENSP00000418960	0	0	0	0	0.380	0.999	0.900	0	0.999
CDK12	TP53	9606.ENSP00000398880	9606.ENSP00000269305	0	0	0	0	0.044	0	0.500	0	0.501
CDK12	FANCD2	9606.ENSP00000398880	9606.ENSP00000287647	0	0	0	0	0.049	0	0.500	0	0.504
CDK12	ERCC6	9606.ENSP00000398880	9606.ENSP00000348089	0	0	0	0	0.093	0.091	0.540	0	0.587
CDK12	BRCA1	9606.ENSP00000398880	9606.ENSP00000418960	0	0	0	0	0.049	0	0.500	0	0.504
CDKN2A	TP53	9606.ENSP00000418915	9606.ENSP00000269305	0	0	0	0	0	0.874	0.900	0	0.986
ERCC4	BRIP1	9606.ENSP00000310520	9606.ENSP00000259008	0	0	0	0	0.123	0	0.400	0	0.451
ERCC4	FANCD2	9606.ENSP00000310520	9606.ENSP00000287647	0	0	0	0	0.101	0.301	0.540	0	0.685
ERCC4	FANCB	9606.ENSP00000310520	9606.ENSP00000498215	0	0	0	0	0.047	0	0.500	0	0.503
ERCC4	BRCA1	9606.ENSP00000310520	9606.ENSP00000418960	0	0	0	0	0.102	0.439	0.540	0	0.748
ERCC4	ERCC6	9606.ENSP00000310520	9606.ENSP00000348089	0	0	0	0	0.105	0.362	0	0	0.404
ERCC6	TP53	9606.ENSP00000348089	9606.ENSP00000269305	0	0	0	0	0	0.625	0	0	0.625
ERCC6	ERCC4	9606.ENSP00000348089	9606.ENSP00000310520	0	0	0	0	0.105	0.362	0	0	0.404
ERCC6	CDK12	9606.ENSP00000348089	9606.ENSP00000398880	0	0	0	0	0.093	0.091	0.540	0	0.587
ERCC6	BRCA1	9606.ENSP00000348089	9606.ENSP00000418960	0	0	0	0	0.049	0.510	0	0	0.514
FANCB	FANCD2	9606.ENSP00000498215	9606.ENSP00000287647	0	0	0	0	0.269	0.800	0.900	0	0.984
FANCB	ERCC4	9606.ENSP00000498215	9606.ENSP00000310520	0	0	0	0	0.047	0	0.500	0	0.503
FANCB	BRCA1	9606.ENSP00000498215	9606.ENSP00000418960	0	0	0	0	0.133	0.439	0	0	0.492
FANCD2	BRIP1	9606.ENSP00000287647	9606.ENSP00000259008	0	0	0	0	0.209	0.515	0	0	0.600
FANCD2	CDK12	9606.ENSP00000287647	9606.ENSP00000398880	0	0	0	0	0.049	0	0.500	0	0.504
FANCD2	ERCC4	9606.ENSP00000287647	9606.ENSP00000310520	0	0	0	0	0.101	0.301	0.540	0	0.685
FANCD2	FANCB	9606.ENSP00000287647	9606.ENSP00000498215	0	0	0	0	0.269	0.800	0.900	0	0.984
FANCD2	BRCA1	9606.ENSP00000287647	9606.ENSP00000418960	0	0	0	0	0.472	0.779	0.540	0	0.941
TP53	BRIP1	9606.ENSP00000269305	9606.ENSP00000259008	0	0	0	0	0.067	0	0.400	0	0.416
TP53	ERCC6	9606.ENSP00000269305	9606.ENSP00000348089	0	0	0	0	0	0.625	0	0	0.625
TP53	CDK12	9606.ENSP00000269305	9606.ENSP00000398880	0	0	0	0	0.044	0	0.500	0	0.501
TP53	BRCA1	9606.ENSP00000269305	9606.ENSP00000418960	0	0	0	0	0.067	0.895	0.500	0	0.946
TP53	CDKN2A	9606.ENSP00000269305	9606.ENSP00000418915	0	0	0	0	0	0.874	0.900	0	0.986
