# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
WRN	ENSG00000165392	ENST00000298139	protein_coding	0	1	1	0	0	0	0	0	0	1	0	0	1	0
TACC3	ENSG00000013810	ENST00000313288	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0
TACC3	ENSG00000013810	ENST00000470136	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0
TACC3	ENSG00000013810	ENST00000612220	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0
TACC3	ENSG00000013810	ENST00000651472	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0
TACC3	ENSG00000013810	ENST00000652770	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0
MCPH1	ENSG00000147316	ENST00000344683	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0
MCPH1	ENSG00000147316	ENST00000521129	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0
MCPH1	ENSG00000147316	ENST00000687413	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0
MCPH1	ENSG00000147316	ENST00000689348	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0
MCPH1	ENSG00000147316	ENST00000689633	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
MCPH1	ENSG00000147316	ENST00000689736	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
MCPH1	ENSG00000147316	ENST00000690708	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0
