# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_region_variant	variants_effect_start_retained_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ATM	ENSG00000149311	ENST00000452508	protein_coding	0	0	2	3	0	0	0	0	0	3	2	0	0	0	0	0	0	0
ATM	ENSG00000149311	ENST00000675843	protein_coding	0	0	2	3	0	0	0	0	0	3	2	0	0	0	0	0	0	0
FANCE	ENSG00000112039	ENST00000229769	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
NTRK2	ENSG00000148053	ENST00000277120	protein_coding	0	0	1	4	0	0	0	0	0	4	1	0	0	0	0	0	0	0
NTRK2	ENSG00000148053	ENST00000304053	protein_coding	0	0	1	4	0	0	0	0	0	4	1	0	0	0	0	0	0	0
NTRK2	ENSG00000148053	ENST00000323115	protein_coding	0	0	1	4	0	0	0	0	0	4	1	0	0	0	0	0	0	0
NTRK2	ENSG00000148053	ENST00000359847	protein_coding	0	0	1	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0
NTRK2	ENSG00000148053	ENST00000376208	protein_coding	0	0	1	4	0	0	0	0	0	4	1	0	0	0	0	0	0	0
NTRK2	ENSG00000148053	ENST00000376213	protein_coding	0	0	1	4	0	0	0	0	0	4	1	0	0	0	0	0	0	0
NTRK2	ENSG00000148053	ENST00000395882	protein_coding	0	0	1	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0
NTRK2	ENSG00000148053	ENST00000685387	protein_coding	0	0	1	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0
NTRK2	ENSG00000148053	ENST00000685720	protein_coding	0	0	1	4	0	0	0	0	0	4	1	0	0	0	0	0	0	0
NTRK2	ENSG00000148053	ENST00000686259	protein_coding	0	0	1	4	0	0	0	0	0	4	1	0	0	0	0	0	0	0
NTRK2	ENSG00000148053	ENST00000686322	protein_coding	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	1
NTRK2	ENSG00000148053	ENST00000686324	protein_coding	0	0	1	4	0	0	0	0	0	4	1	0	0	0	0	0	0	0
NTRK2	ENSG00000148053	ENST00000686443	protein_coding	0	0	1	4	0	0	0	0	0	4	1	0	0	0	0	0	0	0
NTRK2	ENSG00000148053	ENST00000686496	protein_coding	0	0	1	4	0	0	0	0	0	4	1	0	0	0	0	0	0	0
NTRK2	ENSG00000148053	ENST00000686542	protein_coding	0	0	1	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0
NTRK2	ENSG00000148053	ENST00000687148	protein_coding	0	0	1	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0
NTRK2	ENSG00000148053	ENST00000687386	protein_coding	0	0	1	4	0	0	0	0	0	4	1	0	0	0	0	0	0	0
NTRK2	ENSG00000148053	ENST00000687596	protein_coding	0	0	1	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0
NTRK2	ENSG00000148053	ENST00000687636	protein_coding	0	0	1	4	0	0	0	0	0	4	1	0	0	0	0	0	0	0
