# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ACAA1	ENSG00000060971	ENST00000301810	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
ACAA1	ENSG00000060971	ENST00000333167	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
ACAA1	ENSG00000060971	ENST00000421218	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
ACAA1	ENSG00000060971	ENST00000450296	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
ARID1A	ENSG00000117713	ENST00000324856	protein_coding	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0
ARID1A	ENSG00000117713	ENST00000430799	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
ARID1A	ENSG00000117713	ENST00000457599	protein_coding	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0
ARID1A	ENSG00000117713	ENST00000637465	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
ATM	ENSG00000149311	ENST00000452508	protein_coding	3	0	2	0	0	0	0	0	0	3	0	2	0	0	0	0	0
ATM	ENSG00000149311	ENST00000530958	protein_coding	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ATM	ENSG00000149311	ENST00000601453	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
ATM	ENSG00000149311	ENST00000675843	protein_coding	3	0	2	0	0	0	0	0	0	3	0	2	0	0	0	0	0
ATM	ENSG00000149311	ENST00000682465	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
ATM	ENSG00000149311	ENST00000684029	protein_coding	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ATP1B2	ENSG00000129244	ENST00000250111	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
BCL10	ENSG00000142867	ENST00000620248	protein_coding	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
BCL10	ENSG00000142867	ENST00000648566	protein_coding	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
BCL2	ENSG00000171791	ENST00000333681	protein_coding	0	4	6	12	2	1	6	0	0	0	3	6	0	0	0	3	1
BCL2	ENSG00000171791	ENST00000398117	protein_coding	0	4	6	12	2	1	9	0	0	0	0	6	0	0	0	3	1
BCL2	ENSG00000171791	ENST00000589955	protein_coding	0	3	6	10	0	0	2	0	0	0	0	6	0	0	0	3	8
BCL2	ENSG00000171791	ENST00000590515	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
BCL2	ENSG00000171791	ENST00000678301	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0
BCL6	ENSG00000113916	ENST00000232014	protein_coding	1	2	0	5	0	0	0	0	0	1	1	0	1	0	0	1	5
BCL6	ENSG00000113916	ENST00000406870	protein_coding	1	2	0	13	0	0	0	0	0	1	12	0	1	0	0	1	2
BCL6	ENSG00000113916	ENST00000430339	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
BCL6	ENSG00000113916	ENST00000438077	protein_coding	0	0	0	7	0	0	0	0	1	0	0	0	0	0	0	0	6
BCL6	ENSG00000113916	ENST00000450123	protein_coding	1	1	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0
BCL6	ENSG00000113916	ENST00000621333	protein_coding	1	1	0	14	0	0	1	0	0	1	12	0	0	0	0	1	1
BIRC3	ENSG00000023445	ENST00000263464	protein_coding	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0
BIRC3	ENSG00000023445	ENST00000526421	protein_coding	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0
BIRC3	ENSG00000023445	ENST00000527309	protein_coding	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0
BIRC3	ENSG00000023445	ENST00000532808	protein_coding	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0
BIRC3	ENSG00000023445	ENST00000615299	protein_coding	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0
BIRC3	ENSG00000023445	ENST00000673846	protein_coding	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0
BIRC6	ENSG00000115760	ENST00000421745	protein_coding	0	2	3	1	0	0	0	0	0	0	3	3	3	0	0	0	0
BIRC6	ENSG00000115760	ENST00000444173	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
BIRC6	ENSG00000115760	ENST00000648282	protein_coding	1	1	4	0	0	0	0	0	0	1	1	4	2	0	0	0	0
BRAF	ENSG00000157764	ENST00000288602	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0
BRAF	ENSG00000157764	ENST00000496384	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0
