#category	term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
Reactome	HSA-201722	Formation of the beta-catenin:TCF transactivating complex	2	60	2.52	0.0222	9606.ENSP00000262367,9606.ENSP00000301067	CREBBP,KMT2D
Reactome	HSA-5617472	Activation of anterior HOX genes in hindbrain development during early embryogenesis	2	91	2.34	0.0252	9606.ENSP00000262367,9606.ENSP00000301067	CREBBP,KMT2D
Monarch	HP:0010314	Premature thelarche	2	7	3.45	0.0023	9606.ENSP00000262367,9606.ENSP00000301067	CREBBP,KMT2D
Monarch	HP:0002000	Short columella	2	18	3.04	0.0060	9606.ENSP00000262367,9606.ENSP00000301067	CREBBP,KMT2D
Monarch	HP:0001212	Prominent fingertip pads	2	53	2.57	0.0311	9606.ENSP00000262367,9606.ENSP00000301067	CREBBP,KMT2D
Monarch	HP:0009929	Abnormal columella morphology	2	54	2.56	0.0311	9606.ENSP00000262367,9606.ENSP00000301067	CREBBP,KMT2D
Monarch	HP:0000527	Long eyelashes	2	87	2.35	0.0410	9606.ENSP00000262367,9606.ENSP00000301067	CREBBP,KMT2D
Monarch	HP:0001680	Coarctation of aorta	2	105	2.27	0.0463	9606.ENSP00000262367,9606.ENSP00000301067	CREBBP,KMT2D
Monarch	HP:0002566	Intestinal malrotation	2	114	2.24	0.0466	9606.ENSP00000262367,9606.ENSP00000301067	CREBBP,KMT2D
DISEASES	DOID:11054	Urinary bladder cancer	2	38	2.71	0.0185	9606.ENSP00000262367,9606.ENSP00000301067	CREBBP,KMT2D
