# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_donor_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ARID1B	ENSG00000049618	ENST00000319584	protein_coding	0	1	0	0	0	0	0	0	1	0
ARID1B	ENSG00000049618	ENST00000346085	protein_coding	0	0	0	1	0	1	0	0	0	0
ARID1B	ENSG00000049618	ENST00000350026	protein_coding	0	0	0	1	0	1	0	0	0	0
ARID1B	ENSG00000049618	ENST00000400790	protein_coding	0	0	0	1	0	1	0	0	0	0
ARID1B	ENSG00000049618	ENST00000414678	protein_coding	0	1	0	0	0	0	0	0	1	0
ARID1B	ENSG00000049618	ENST00000635849	protein_coding	0	1	0	0	0	0	0	0	1	0
ARID1B	ENSG00000049618	ENST00000635957	protein_coding	0	1	0	0	0	0	0	0	1	0
ARID1B	ENSG00000049618	ENST00000636930	protein_coding	0	1	0	0	0	0	0	0	1	0
ARID1B	ENSG00000049618	ENST00000637015	protein_coding	0	1	0	0	0	0	0	0	1	0
ARID1B	ENSG00000049618	ENST00000637810	protein_coding	0	0	0	1	0	1	0	0	0	0
ARID1B	ENSG00000049618	ENST00000637904	protein_coding	0	1	0	0	0	0	0	0	1	0
ARID1B	ENSG00000049618	ENST00000647938	protein_coding	0	0	0	1	0	1	0	0	0	0
ATM	ENSG00000149311	ENST00000452508	protein_coding	0	0	1	0	0	0	1	0	0	0
ATM	ENSG00000149311	ENST00000675843	protein_coding	0	0	1	0	0	0	1	0	0	0
C11orf65	ENSG00000166323	ENST00000524755	protein_coding	0	0	0	1	0	1	0	0	0	0
C11orf65	ENSG00000166323	ENST00000525729	protein_coding	0	0	0	1	0	1	0	0	0	0
C11orf65	ENSG00000166323	ENST00000615746	protein_coding	0	0	0	1	0	1	0	0	0	0
ENSG00000282218	ENSG00000282218	ENST00000467125	protein_coding	0	0	0	3	0	3	0	0	0	0
ENSG00000282278	ENSG00000282278	ENST00000507166	protein_coding	0	0	0	1	0	1	0	0	0	0
KHDC4	ENSG00000132680	ENST00000368320	protein_coding	0	0	0	1	1	0	0	0	0	0
KHDC4	ENSG00000132680	ENST00000368321	protein_coding	0	0	0	1	1	0	0	0	0	0
MAP4K2	ENSG00000168067	ENST00000294066	protein_coding	0	0	0	1	0	0	0	0	0	1
MAP4K2	ENSG00000168067	ENST00000377350	protein_coding	0	0	0	1	0	0	0	0	0	1
MAP4K2	ENSG00000168067	ENST00000439069	protein_coding	0	0	0	1	0	0	0	0	0	1
MEN1	ENSG00000133895	ENST00000312049	protein_coding	0	0	0	1	0	1	0	0	0	0
MEN1	ENSG00000133895	ENST00000315422	protein_coding	0	0	0	1	0	1	0	0	0	0
MEN1	ENSG00000133895	ENST00000377313	protein_coding	0	0	0	1	0	1	0	0	0	0
MEN1	ENSG00000133895	ENST00000377316	protein_coding	0	0	0	1	0	1	0	0	0	0
MEN1	ENSG00000133895	ENST00000377321	protein_coding	0	0	0	1	0	1	0	0	0	0
MEN1	ENSG00000133895	ENST00000377326	protein_coding	0	0	0	1	0	1	0	0	0	0
MEN1	ENSG00000133895	ENST00000394376	protein_coding	0	0	0	1	0	0	0	0	0	1
MEN1	ENSG00000133895	ENST00000413626	protein_coding	0	0	0	1	0	1	0	0	0	0
MEN1	ENSG00000133895	ENST00000424912	protein_coding	0	0	0	1	1	0	0	0	0	0
MEN1	ENSG00000133895	ENST00000429702	protein_coding	0	0	0	1	1	0	0	0	0	0
MEN1	ENSG00000133895	ENST00000440873	protein_coding	0	0	0	1	0	1	0	0	0	0
MEN1	ENSG00000133895	ENST00000450708	protein_coding	0	0	0	1	0	1	0	0	0	0
MEN1	ENSG00000133895	ENST00000672304	protein_coding	0	0	0	1	0	1	0	0	0	0
NRG1	ENSG00000157168	ENST00000287842	protein_coding	0	0	0	1	0	1	0	0	0	0
NRG1	ENSG00000157168	ENST00000356819	protein_coding	0	0	0	1	0	1	0	0	0	0
NRG1	ENSG00000157168	ENST00000405005	protein_coding	0	0	0	1	0	1	0	0	0	0
NRG1	ENSG00000157168	ENST00000518206	protein_coding	0	0	0	1	0	1	0	0	0	0
NRG1	ENSG00000157168	ENST00000519301	protein_coding	0	0	0	1	0	1	0	0	0	0
NRG1	ENSG00000157168	ENST00000520407	protein_coding	0	0	0	1	0	1	0	0	0	0
NRG1	ENSG00000157168	ENST00000521670	protein_coding	0	0	0	1	0	1	0	0	0	0
NRG1	ENSG00000157168	ENST00000522569	protein_coding	0	0	0	1	0	0	0	0	0	1
NRG1	ENSG00000157168	ENST00000523079	protein_coding	0	0	0	1	0	1	0	0	0	0
NRG1	ENSG00000157168	ENST00000523534	protein_coding	0	0	0	1	0	1	0	0	0	0
NRG1	ENSG00000157168	ENST00000650866	protein_coding	0	0	0	1	0	1	0	0	0	0
NRG1	ENSG00000157168	ENST00000650919	protein_coding	0	0	0	1	0	1	0	0	0	0
NRG1	ENSG00000157168	ENST00000650967	protein_coding	0	0	0	1	0	1	0	0	0	0
NRG1	ENSG00000157168	ENST00000650980	protein_coding	0	0	0	1	0	1	0	0	0	0
NRG1	ENSG00000157168	ENST00000651149	protein_coding	0	0	0	1	0	1	0	0	0	0
NRG1	ENSG00000157168	ENST00000651335	protein_coding	0	0	0	1	0	1	0	0	0	0
NRG1	ENSG00000157168	ENST00000652588	protein_coding	0	0	0	1	0	1	0	0	0	0
NRG1	ENSG00000157168	ENST00000652698	protein_coding	0	0	0	1	0	1	0	0	0	0
NTRK3	ENSG00000140538	ENST00000317501	protein_coding	0	0	0	1	0	1	0	0	0	0
NTRK3	ENSG00000140538	ENST00000355254	protein_coding	0	0	0	1	0	1	0	0	0	0
NTRK3	ENSG00000140538	ENST00000357724	protein_coding	0	0	0	1	0	1	0	0	0	0
NTRK3	ENSG00000140538	ENST00000360948	protein_coding	0	0	0	1	0	1	0	0	0	0
NTRK3	ENSG00000140538	ENST00000394480	protein_coding	0	0	0	1	0	1	0	0	0	0
NTRK3	ENSG00000140538	ENST00000540489	protein_coding	0	0	0	1	0	1	0	0	0	0
NTRK3	ENSG00000140538	ENST00000542733	protein_coding	0	0	0	1	0	1	0	0	0	0
NTRK3	ENSG00000140538	ENST00000557856	protein_coding	0	0	0	1	0	1	0	0	0	0
NTRK3	ENSG00000140538	ENST00000558676	protein_coding	0	0	0	1	0	1	0	0	0	0
NTRK3	ENSG00000140538	ENST00000560017	protein_coding	0	0	0	1	1	0	0	0	0	0
NTRK3	ENSG00000140538	ENST00000626019	protein_coding	0	0	0	1	0	1	0	0	0	0
NTRK3	ENSG00000140538	ENST00000629765	protein_coding	0	0	0	1	0	1	0	0	0	0
PDGFRA	ENSG00000134853	ENST00000257290	protein_coding	0	0	0	1	0	1	0	0	0	0
RIT1	ENSG00000143622	ENST00000368322	protein_coding	0	1	0	0	0	0	0	0	1	0
RIT1	ENSG00000143622	ENST00000368323	protein_coding	0	1	0	0	0	0	0	0	1	0
RIT1	ENSG00000143622	ENST00000539040	protein_coding	0	0	0	1	0	1	0	0	0	0
RIT1	ENSG00000143622	ENST00000609492	protein_coding	0	1	0	0	0	0	0	0	1	0
RIT1	ENSG00000143622	ENST00000651833	protein_coding	0	1	0	0	0	0	0	0	1	0
RIT1	ENSG00000143622	ENST00000651853	protein_coding	0	1	0	0	0	0	0	0	1	0
RNF43	ENSG00000108375	ENST00000407977	protein_coding	0	0	0	1	0	1	0	0	0	0
RNF43	ENSG00000108375	ENST00000577625	protein_coding	0	0	0	1	0	1	0	0	0	0
RNF43	ENSG00000108375	ENST00000577716	protein_coding	0	0	0	1	0	1	0	0	0	0
RNF43	ENSG00000108375	ENST00000581868	protein_coding	0	0	0	1	0	1	0	0	0	0
