# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_region_variant	variants_effect_start_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
APC	ENSG00000134982	ENST00000257430	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0
APC	ENSG00000134982	ENST00000507379	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0
APC	ENSG00000134982	ENST00000508376	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0
APC	ENSG00000134982	ENST00000512211	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0
ARAF	ENSG00000078061	ENST00000377039	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0
ARAF	ENSG00000078061	ENST00000377045	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
BARD1	ENSG00000138376	ENST00000260947	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
BARD1	ENSG00000138376	ENST00000421162	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
BARD1	ENSG00000138376	ENST00000613374	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
BARD1	ENSG00000138376	ENST00000613706	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
BARD1	ENSG00000138376	ENST00000617164	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
BARD1	ENSG00000138376	ENST00000619009	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
BARD1	ENSG00000138376	ENST00000620057	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
BRAF	ENSG00000157764	ENST00000288602	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
BRAF	ENSG00000157764	ENST00000496384	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
BRAF	ENSG00000157764	ENST00000644969	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0
