# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_disruptive_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ARID1A	ENSG00000117713	ENST00000324856	protein_coding	1	0	3	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0
ARID1A	ENSG00000117713	ENST00000374152	protein_coding	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
ARID1A	ENSG00000117713	ENST00000430799	protein_coding	1	0	1	2	0	0	0	0	1	0	1	2	0	0	0	0	0	0
ARID1A	ENSG00000117713	ENST00000457599	protein_coding	1	0	3	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0
ARID1A	ENSG00000117713	ENST00000524572	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ARID1A	ENSG00000117713	ENST00000636219	protein_coding	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
ARID1A	ENSG00000117713	ENST00000637465	protein_coding	0	0	1	2	0	0	0	0	1	0	0	2	0	0	0	0	0	0
ATM	ENSG00000149311	ENST00000452508	protein_coding	2	1	3	1	0	0	0	0	0	0	2	1	3	0	0	0	1	0
ATM	ENSG00000149311	ENST00000530958	protein_coding	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ATM	ENSG00000149311	ENST00000531525	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ATM	ENSG00000149311	ENST00000601453	protein_coding	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ATM	ENSG00000149311	ENST00000675843	protein_coding	2	1	3	1	0	0	0	0	0	0	2	1	3	0	0	0	1	0
ATM	ENSG00000149311	ENST00000682465	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ATM	ENSG00000149311	ENST00000684029	protein_coding	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
